N	2gram	Vygotskiy__6	Istorich
1	и в	28	25
2	что он	18	22
3	вместе с	7	22
4	может быть	13	17
5	мы имеем	4	14
6	не только	16	13
7	но и	10	13
8	в его	3	12
9	и не	11	11
10	так как	10	11
11	все же	2	10
12	в этом	27	10
13	тем что	8	10
14	с другой	2	9
15	его в	6	9
16	и его	3	9
17	таким образом	18	9
18	с тем	5	8
19	связи с	3	8
20	что в	17	8
21	мы знаем	4	8
22	том что	19	8
23	мы видим	7	8
24	еще не	8	8
25	другой стороны	2	8
26	все эти	2	8
27	и что	6	8
28	и на	5	8
29	в частности	4	7
30	в качестве	4	7
31	мы видели	8	7
32	как и	6	7
33	но это	2	7
34	то что	28	7
35	этом случае	2	7
36	в нем	7	7
37	в иной	2	7
38	потому что	22	7
39	и здесь	3	7
40	представляет собой	3	7
41	только в	18	7
42	знаем что	4	6
43	в этих	2	6
44	это не	5	6
45	прежде всего	2	6
46	что и	4	6
47	как в	3	6
48	не может	19	6
49	не в	4	6
50	могут быть	5	6
51	в том	28	6
52	там где	7	6
53	ясно что	4	5
54	с этим	4	5
55	показывает что	7	5
56	как мы	10	5
57	для нас	2	5
58	но не	10	5
59	связано с	3	5
60	например в	4	5
61	так же	15	5
62	мы не	6	5
63	не менее	2	4
64	что у	2	4
65	раньше чем	2	4
66	что все	5	4
67	и тем	5	4
68	с другими	2	4
69	мы уже	2	4
70	в пределах	5	4
71	же как	6	4
72	на этой	5	4
73	все это	2	4
74	в связи	2	4
75	то же	7	4
76	от этого	3	4
77	он не	7	4
78	за ним	2	4
79	мы должны	3	4
80	в которой	7	4
81	с ним	2	4
82	того как	5	4
83	в другой	3	3
84	никогда не	8	3
85	и как	6	3
86	но когда	2	3
87	представления о	2	3
88	и все	5	3
89	в целом	3	3
90	увидим ниже	2	3
91	в этой	5	3
92	в то	6	3
93	в себя	3	3
94	того чтобы	10	3
95	на том	2	3
96	в ином	3	3
97	и др	2	3
98	но мы	3	3
99	представляют собой	3	3
100	что при	4	3
101	в свете	5	3
102	на этом	4	3
103	для того	8	3
104	друг друга	4	3
105	а в	2	3
106	в которых	2	3
107	в данном	2	3
108	они не	4	3
109	этой стадии	2	3
110	и вообще	2	3
111	видели что	3	2
112	у него	2	2
113	связанные с	3	2
114	он может	2	2
115	только тогда	4	2
116	тогда когда	6	2
117	вопрос о	5	2
118	по себе	3	2
119	на то	4	2
120	можно сказать	6	2
121	так что	6	2
122	с этой	2	2
123	по существу	2	2
124	мы и	4	2
125	очевидно что	3	2
126	того же	7	2
127	находящихся в	2	2
128	животных и	2	2
129	до сих	3	2
130	она не	2	2
131	несмотря на	2	2
132	друг с	5	2
133	если бы	7	2
134	он делает	2	2
135	как таковое	2	2
136	одним из	2	2
137	как бы	11	2
138	еще в	2	2
139	по мере	3	2
140	один из	3	2
141	сих пор	3	2
142	в своей	2	2
143	отношению к	10	2
144	когда он	2	2
145	во всех	4	2
146	с ней	3	2
147	ее в	2	2
148	означает что	2	2
149	по отношению	10	2
150	образом мы	2	2
151	и других	7	2
152	самом деле	2	2
153	на ней	2	2
154	а не	3	2
155	того что	24	2
156	и по	3	2
157	в других	2	2
158	то в	5	2
159	сказать что	13	2
160	образом в	3	2
161	но он	2	2
162	точки зрения	13	2
163	на одном	2	2
164	к его	2	2
165	входящий в	2	2
166	ту же	3	2
167	что мы	11	2
168	из них	2	2
169	с другом	5	2
170	том как	2	2
171	мы можем	9	2
