N	2gram	Ircho_Kome_3	Russkaja
1	не может	3	22
2	и не	21	19
3	в том	12	17
4	в этом	8	17
5	и в	22	14
6	то что	4	13
7	таким образом	12	11
8	то же	7	11
9	точки зрения	4	11
10	же время	5	10
11	но и	4	10
12	в то	6	10
13	том что	13	9
14	не только	5	9
15	в себе	4	9
16	с точки	3	9
17	может быть	6	9
18	во всяком	3	9
19	прежде всего	5	8
20	того чтобы	6	8
21	отнюдь не	4	7
22	к тому	6	7
23	и если	2	7
24	не будет	2	7
25	самом деле	6	7
26	о том	8	7
27	и с	4	7
28	если бы	8	6
29	что он	8	6
30	и к	3	6
31	с тем	4	6
32	для того	6	6
33	всяком случае	3	6
34	все это	5	6
35	в своем	8	6
36	и для	4	6
37	в своих	2	6
38	себя и	2	5
39	между собой	4	5
40	хотя бы	4	5
41	на то	3	5
42	и на	2	5
43	при этом	7	5
44	до сих	9	5
45	было бы	3	5
46	конечно не	3	5
47	в своей	5	5
48	он не	5	5
49	никогда не	3	5
50	в нем	3	5
51	сих пор	9	5
52	во всех	2	5
53	по существу	2	5
54	из которых	2	5
55	а в	7	5
56	потому что	10	5
57	между тем	2	5
58	не могут	2	4
59	что в	5	4
60	то ни	3	4
61	в мире	2	4
62	как и	3	4
63	все что	3	4
64	как бы	3	4
65	все же	4	4
66	бы то	2	4
67	вместе с	9	4
68	со стороны	11	4
69	от того	2	4
70	в их	2	4
71	приводит к	3	4
72	не в	4	4
73	можно было	2	4
74	отказаться от	2	4
75	в этой	3	4
76	в его	8	4
77	его в	8	4
78	так как	11	4
79	к этой	2	4
80	в конце	7	3
81	этом случае	2	3
82	в другом	2	3
83	что они	2	3
84	в качестве	2	3
85	еще не	6	3
86	несмотря на	4	3
87	в самом	9	3
88	одной из	3	3
89	но если	3	3
90	то это	5	3
91	что и	8	3
92	и т	4	3
93	из них	5	3
94	не было	2	3
95	друг друга	4	3
96	что для	2	3
97	тем что	5	3
98	и во	2	3
99	себя от	2	3
100	говорить о	3	3
101	связи с	5	3
102	из этого	2	3
103	конце концов	2	3
104	любовь к	3	2
105	только для	2	2
106	нисколько не	3	2
107	в частности	3	2
108	у него	4	2
109	с этим	3	2
110	к себе	5	2
111	это в	2	2
112	состоит в	2	2
113	ясно что	6	2
114	этот человек	2	2
115	ни в	10	2
116	разумеется что	2	2
117	так что	6	2
118	из всех	2	2
119	что с	2	2
120	она не	2	2
121	и тот	3	2
122	совершенно не	2	2
123	за то	2	2
124	и о	2	2
125	в ней	4	2
126	на это	3	2
127	от своей	2	2
128	в котором	2	2
129	речь идет	5	2
130	если же	2	2
131	на основании	2	2
132	чтобы в	2	2
133	даже не	3	2
134	тому что	2	2
135	целый ряд	2	2
136	по отношению	5	2
137	они будут	2	2
138	даже если	2	2
139	отношения к	2	2
140	если не	3	2
141	в течение	3	2
142	и что	6	2
143	а не	4	2
144	и даже	3	2
145	не так	3	2
146	к нему	5	2
147	так же	4	2
148	в других	3	2
149	в глазах	8	2
150	в таком	2	2
151	людей и	2	2
152	в результате	2	2
153	их в	3	2
154	больше чем	2	2
155	в силу	2	2
156	мы можем	3	2
157	остается в	2	2
158	не о	3	2
159	речь шла	2	2
160	на себя	4	2
161	в начале	3	2
162	во время	6	2
163	с ним	5	2
164	в области	2	2
165	но в	5	2
166	за нее	2	2
167	любви к	5	2
