N	3gram	Medvedev_F_3	VLabPisa
1	и т д	6	15
2	в этом отношении	3	13
3	и т п	5	9
4	с другой стороны	5	8
5	не может быть	14	8
6	по отношению к	3	7
7	в зависимости от	5	5
8	то же время	7	5
9	в то же	7	5
10	равно как и	2	4
11	в связи с	4	4
12	в художественном произведении	3	4
13	в том что	3	4
14	к тому что	2	3
15	о том как	2	3
16	и в то	2	3
17	вместе с тем	3	3
18	мы видели что	2	3
19	в конце концов	2	2
20	не только не	2	2
21	так и от	2	2
22	только то что	2	2
23	и не может	4	2
24	во всяком случае	6	2
25	подобно тому как	4	2
26	для того чтобы	4	2
