N	2gram	Voloshinov_1	Problemy
1	и в	13	35
2	как бы	6	31
3	и не	8	27
4	в его	7	21
5	но в	4	19
6	не может	8	18
7	как и	3	18
8	в нем	2	16
9	то же	4	15
10	и все	3	15
11	но и	3	14
12	для него	2	14
13	может быть	8	14
14	все это	4	14
15	и его	12	14
16	в этом	2	14
17	прежде всего	9	12
18	и к	2	12
19	в другом	2	12
20	в пределах	3	11
21	слова и	2	11
22	не в	3	10
23	самом деле	3	10
24	не только	6	10
25	то что	6	10
26	героя и	2	10
27	в отношении	2	9
28	самого начала	2	8
29	так и	3	8
30	с самого	2	8
31	мы уже	2	8
32	все же	5	8
33	и для	3	8
34	лишь в	4	7
35	так же	2	7
36	а в	2	7
37	и наконец	5	7
38	точки зрения	7	7
39	вовсе не	2	7
40	для себя	2	7
41	отношению к	3	7
42	что же	3	7
43	там где	2	7
44	таким образом	6	7
45	что в	3	6
46	в каждом	4	6
47	к тому	2	6
48	что они	2	6
49	в самом	2	6
50	в одном	3	6
51	и т.п	7	6
52	по отношению	3	6
53	только в	6	6
54	в том	2	5
55	да и	3	5
56	с ними	2	5
57	как в	2	5
58	и то	3	5
59	в себе	3	5
60	никогда не	3	4
61	с другой	2	4
62	между тем	2	4
63	так как	3	4
64	бы в	2	4
65	сознания и	2	4
66	в них	2	4
67	во всем	2	4
68	тот же	2	4
69	наконец в	2	4
70	еще в	2	4
71	в своей	4	4
72	а не	2	4
73	тем что	2	4
74	в чем	2	4
75	уже в	2	3
76	но так	2	3
77	в общем	2	3
78	он только	2	3
79	в целом	2	3
80	другой стороны	2	3
81	все эти	2	3
82	к одному	3	3
83	не мог	2	3
84	нуждается в	2	3
85	говорить о	3	3
86	мы должны	6	3
87	не как	3	3
88	с этим	3	3
89	в ее	3	3
90	том что	2	3
91	одно и	3	3
92	слов и	4	3
93	было бы	4	3
94	за пределы	3	3
95	каждое слово	2	3
96	и т.д	5	3
97	не менее	2	2
98	с этой	2	2
99	при этом	2	2
100	мог бы	2	2
101	понятно что	3	2
102	те же	2	2
103	я хочу	3	2
104	материалом для	2	2
105	но для	3	2
106	в ней	2	2
107	но ведь	5	2
108	в произведении	2	2
109	слово в	3	2
110	а как	2	2
111	в этот	2	2
112	конечно в	2	2
113	и отчасти	2	2
114	кажется что	2	2
115	вполне понятно	4	2
116	и этот	2	2
117	своего рода	2	2
118	хотя бы	5	2
119	с точки	5	2
120	в которой	3	2
121	мы можем	4	2
122	всей своей	2	2
