N	2gram	Berdyaev_M_2	Russkaja
1	не может	15	22
2	и не	18	19
3	в том	3	17
4	в этом	20	17
5	и в	46	14
6	то что	5	13
7	то же	5	11
8	точки зрения	2	11
9	но и	15	10
10	том что	4	9
11	не только	18	9
12	в себе	10	9
13	может быть	21	9
14	прежде всего	12	8
15	того чтобы	4	8
16	к богу	2	7
17	к тому	5	7
18	и если	2	7
19	не будет	3	7
20	самого себя	4	7
21	о том	3	7
22	и с	3	7
23	если бы	3	6
24	что он	7	6
25	и к	7	6
26	для него	18	6
27	к которой	3	6
28	для того	5	6
29	в своем	8	6
30	и для	7	6
31	в своих	3	6
32	в россии	3	6
33	себя и	3	5
34	жизни в	3	5
35	хотя бы	7	5
36	вопрос о	6	5
37	и на	3	5
38	или иной	2	5
39	до сих	3	5
40	в своей	5	5
41	он не	10	5
42	никогда не	18	5
43	в нем	22	5
44	сих пор	3	5
45	во всех	2	5
46	а в	2	5
47	потому что	12	5
48	во имя	16	5
49	только в	3	5
50	между тем	2	5
51	а лишь	2	4
52	что в	4	4
53	тогда когда	2	4
54	в мире	7	4
55	как и	13	4
56	все что	4	4
57	как бы	8	4
58	себе и	2	4
59	себя в	4	4
60	жизни и	6	4
61	вместе с	2	4
62	от того	3	4
63	что же	2	4
64	на земле	8	4
65	не в	9	4
66	можно было	2	4
67	к соединению	2	4
68	в этой	7	4
69	во всем	5	4
70	в его	5	4
71	его в	3	4
72	так как	8	4
73	он сам	6	3
74	что это	6	3
75	можно ли	3	3
76	в конце	5	3
77	что все	5	3
78	да и	2	3
79	то в	2	3
80	лишь в	2	3
81	что они	3	3
82	должно быть	2	3
83	в самом	5	3
84	и потому	7	3
85	для этого	4	3
86	что и	4	3
87	не есть	13	3
88	россии и	2	3
89	не было	11	3
90	того что	6	3
91	друг друга	12	3
92	приходит к	2	3
93	тем что	3	3
94	и во	3	3
95	связи с	2	3
96	любовь к	8	2
97	место в	2	2
98	и есть	8	2
99	считает себя	3	2
100	у него	22	2
101	от этой	2	2
102	были бы	2	2
103	бы его	2	2
104	и от	3	2
105	к себе	2	2
106	народа и	4	2
107	по себе	2	2
108	ни в	3	2
109	уже не	4	2
110	так что	2	2
111	это есть	2	2
112	но это	8	2
113	есть и	3	2
114	там и	6	2
115	она не	8	2
116	и тот	2	2
117	но для	2	2
118	в ней	11	2
119	к чему	4	2
120	от своей	2	2
121	отношении к	3	2
122	на почве	3	2
123	не к	2	2
124	быть и	2	2
125	но она	2	2
126	ее в	2	2
127	– не	3	2
128	и тогда	3	2
129	тому что	4	2
130	по отношению	2	2
131	отношения к	2	2
132	к отрицанию	5	2
133	и вот	5	2
134	есть единственная	2	2
135	и что	2	2
136	а не	13	2
137	не так	3	2
138	к нему	2	2
139	так же	6	2
140	и те	2	2
141	принадлежат к	3	2
142	людей и	3	2
143	не о	2	2
144	с самим	3	2
145	если человек	2	2
146	и человек	3	2
147	как будто	2	2
148	в этих	2	2
149	только с	3	2
150	с ним	3	2
151	и должно	3	2
152	но в	10	2
153	любви к	7	2
