N	2gram	Bakhtin_sl_1	Problema
1	и не	16	28
2	то есть	26	27
3	не только	16	24
4	только в	6	23
5	в виде	2	22
6	вовсе не	7	21
7	в том	3	20
8	и в	41	20
9	все эти	9	16
10	смысле слова	2	15
11	потому что	2	15
12	у нас	2	14
13	было бы	3	14
14	той или	9	14
15	но и	16	14
16	точки зрения	16	14
17	перед нами	4	13
18	или иной	9	13
19	не в	7	13
20	также и	3	13
21	не есть	2	12
22	в себе	3	12
23	том что	2	12
24	прежде всего	8	11
25	с точки	8	11
26	в качестве	3	10
27	не является	2	10
28	так и	11	10
29	и его	14	10
30	может быть	14	9
31	все это	5	9
32	и даже	6	9
33	в этом	12	9
34	таким образом	9	8
35	в той	10	8
36	в результате	3	8
37	во всяком	7	8
38	и все	4	8
39	но в	8	8
40	с другой	5	7
41	это не	6	7
42	еще не	4	7
43	такого рода	2	7
44	мы не	2	7
45	и потому	4	7
46	и тем	2	7
47	то же	14	7
48	именно в	3	7
49	а не	15	7
50	сказать что	2	7
51	и с	4	7
52	в ней	4	7
53	здесь не	2	7
54	хотя бы	3	7
55	всех этих	4	6
56	и от	4	6
57	так что	2	6
58	а также	2	6
59	для нас	2	6
60	как и	4	6
61	по своему	2	6
62	при этом	6	6
63	другой стороны	4	6
64	в данном	3	6
65	и вообще	2	6
66	но не	2	5
67	на самом	2	5
68	хотя и	2	5
69	в нем	30	5
70	здесь в	4	5
71	в смысле	4	5
72	можно сказать	2	5
73	в ее	2	5
74	и о	2	5
75	данном случае	3	5
76	как в	8	5
77	так же	2	5
78	не может	14	5
79	в них	6	5
80	так как	3	5
81	если мы	2	5
82	уже не	2	5
83	или в	8	5
84	в этих	2	5
85	о том	3	5
86	те или	3	5
87	или иные	3	4
88	в отношении	6	4
89	или даже	2	4
90	и для	4	4
91	и во	3	4
92	в одном	2	4
93	и ее	3	4
94	кроме того	4	4
95	одной из	3	4
96	ни о	2	4
97	в своей	7	4
98	как бы	12	4
99	всяком случае	5	4
100	и т	28	4
101	во всех	17	4
102	с этим	3	4
103	в разных	3	4
104	а в	6	4
105	и наконец	4	4
106	можно было	2	4
107	как раз	2	4
108	в то	14	4
109	с ним	7	4
110	к тому	3	3
111	все они	7	3
112	вообще не	3	3
113	или иного	2	3
114	в условиях	2	3
115	и к	5	3
116	как мы	8	3
117	для него	3	3
118	связи с	2	3
119	в истории	3	3
120	непосредственно без	2	3
121	не выходит	3	3
122	совершенно не	2	3
123	конечно не	3	3
124	же и	2	3
125	в его	13	3
126	в зависимости	3	3
127	дело не	2	3
128	бы и	3	3
129	в своем	3	3
130	т д	5	3
131	не было	3	3
132	для того	2	3
133	к нему	5	3
134	в самых	2	3
135	с другими	5	3
136	которая не	3	3
137	и на	14	3
138	из них	3	3
139	мы все	2	3
140	в сознании	2	3
141	в другом	2	3
142	зависимости от	3	3
143	того или	2	3
144	из этого	3	3
145	в известном	2	2
146	все время	3	2
147	в частности	2	2
148	и непосредственно	5	2
149	между собой	2	2
150	другом случае	2	2
151	столь же	2	2
152	эти категории	2	2
153	на все	2	2
154	с его	4	2
155	от всякой	3	2
156	остановимся на	2	2
157	то в	2	2
158	что они	2	2
159	то время	2	2
160	для них	2	2
161	в пределах	14	2
162	но именно	4	2
163	и может	3	2
164	на его	8	2
165	в самом	5	2
166	за пределы	4	2
167	по преимуществу	4	2
168	они могут	7	2
169	он не	3	2
170	перестает быть	2	2
171	время как	2	2
172	в котором	2	2
173	все же	7	2
174	с ее	4	2
175	себя в	9	2
176	с ней	2	2
177	или менее	3	2
178	только на	2	2
179	или к	3	2
180	ни было	2	2
181	и по	2	2
182	друг друга	3	2
183	в других	3	2
184	почти всегда	3	2
185	все категории	2	2
186	с ними	3	2
187	выходит за	3	2
188	и то	2	2
189	однако этот	2	2
190	далеко не	5	2
191	его в	3	2
192	к своему	6	2
193	в которой	4	2
194	того же	6	2
195	более или	3	2
196	но по	2	2
197	еще более	5	2
198	в романах	2	2
