N	2gram	Nazirov_Vr_1	Tvorches
1	у достоевского	4	30
2	и в	8	20
3	в году	18	16
4	в романе	6	15
5	не только	9	13
6	никогда не	2	11
7	м м	2	11
8	как бы	4	11
9	в его	3	10
10	таким образом	2	10
11	в то	5	10
12	достоевского в	7	9
13	там же	2	9
14	и его	3	9
15	и не	5	9
16	достоевского не	4	8
17	в том	3	8
18	при этом	4	8
19	но и	7	8
20	может быть	4	8
21	в этом	8	8
22	и с	6	8
23	это не	4	7
24	же время	5	7
25	наряду с	3	7
26	года в	7	7
27	что в	7	7
28	не может	2	7
29	то же	5	7
30	достоевский в	8	7
31	у него	5	6
32	в конце	3	6
33	что он	4	6
34	как и	6	6
35	из подполья	3	6
36	в своей	2	6
37	все это	4	6
38	в бесах	10	6
39	в мире	2	5
40	но это	2	5
41	достоевского с	9	5
42	еще не	2	5
43	достоевский не	3	5
44	все же	6	5
45	и даже	6	5
46	так же	4	5
47	в этой	2	5
48	о том	4	5
49	об этом	5	4
50	что у	3	4
51	том что	3	4
52	отнюдь не	2	4
53	по нашему	3	4
54	а в	2	4
55	в чем	3	4
56	в черновиках	3	4
57	марта года	3	4
58	и достоевский	2	4
59	но в	6	4
60	апреля года	3	3
61	место в	2	3
62	а с	2	3
63	он сам	2	3
64	же как	2	3
65	что достоевский	4	3
66	г а	5	3
67	к этому	3	3
68	с ним	4	3
69	роман достоевского	2	3
70	в дневнике	4	3
71	х годов	4	3
72	одна из	2	3
73	для него	2	3
74	он не	3	3
75	в котором	6	3
76	в нем	6	3
77	то что	7	3
78	и это	2	3
79	вместе с	2	3
80	года достоевский	3	3
81	года он	3	3
82	по мнению	2	3
83	тогда как	2	3
84	человека в	3	3
85	подпольного человека	4	3
86	уже не	2	3
87	одним из	3	3
88	тем что	3	3
89	в своих	4	3
90	в себе	2	3
91	в начале	6	3
92	его в	3	3
93	в письмах	2	3
94	между тем	5	3
95	уже в	4	2
96	тургенева что	2	2
97	в роман	2	2
98	не менее	2	2
99	в петербург	3	2
100	его и	2	2
101	давно уже	3	2
102	я не	3	2
103	в этот	3	2
104	и ее	2	2
105	что я	2	2
106	права на	2	2
107	а н	2	2
108	у тургенева	11	2
109	записки из	2	2
110	том же	2	2
111	с князем	2	2
112	в честь	2	2
113	в истории	4	2
114	и наказания	2	2
115	так в	2	2
116	и далее	2	2
117	начиная с	2	2
118	не было	5	2
119	достоевского к	3	2
120	достоевского и	7	2
121	и что	8	2
122	и у	3	2
123	и он	2	2
124	во многом	4	2
125	рядом с	2	2
126	о достоевском	2	2
127	тургенев в	4	2
128	из них	2	2
129	он писал	2	2
130	в русской	3	2
131	при помощи	2	2
132	в россии	5	2
133	их в	2	2
134	достоевский писал	2	2
135	же не	2	2
