N	2gram	Tiupa_Anal_3	Istorich
1	и в	18	26
2	мы имеем	5	14
3	никогда не	5	13
4	что в	9	12
5	таким образом	4	12
6	в том	9	12
7	и на	4	12
8	в этом	14	12
9	связь с	2	11
10	может быть	9	11
11	с другой	7	10
12	том что	12	10
13	и не	12	10
14	не только	22	10
15	что он	4	9
16	еще не	6	9
17	но и	13	9
18	о смерти	3	9
19	в нем	2	8
20	все же	4	8
21	вместе с	2	8
22	другой стороны	5	8
23	все эти	2	8
24	власть над	2	7
25	уже не	5	7
26	с одной	2	7
27	мы можем	2	7
28	одной стороны	2	7
29	например в	2	7
30	и его	13	7
31	о том	6	7
32	но в	2	7
33	с появлением	2	6
34	то что	2	6
35	как в	3	6
36	так в	3	6
37	не может	2	6
38	после чего	2	6
39	в русской	7	6
40	мы не	3	6
41	как и	14	5
42	в ней	2	5
43	в его	7	5
44	не будет	3	5
45	так и	14	5
46	то же	3	5
47	как это	3	5
48	тем что	2	5
49	в то	3	5
50	только в	2	5
51	его в	3	5
52	там где	2	5
53	с тем	2	4
54	это не	2	4
55	из этих	3	4
56	прежде всего	5	4
57	не всегда	3	4
58	с его	8	4
59	на его	2	4
60	как бы	10	4
61	что и	5	4
62	и он	2	4
63	и по	2	4
64	а также	2	4
65	одну из	2	4
66	но как	3	4
67	и ее	2	3
68	в частности	12	3
69	могут быть	2	3
70	в них	2	3
71	и от	2	3
72	в одном	4	3
73	к этому	3	3
74	в тех	2	3
75	не в	6	3
76	в качестве	12	3
77	один из	2	3
78	когда он	2	3
79	во сне	3	3
80	данном случае	3	3
81	что она	2	3
82	со стороны	9	3
83	а в	10	3
84	при этом	11	3
85	и вот	2	3
86	в данном	4	3
87	сказать что	2	3
88	в себе	2	3
89	не было	3	3
90	далеко не	4	3
91	перед нами	4	2
92	о чем	4	2
93	и как	4	2
94	однако в	5	2
95	в своем	4	2
96	того же	5	2
97	здесь и	3	2
98	с этим	3	2
99	можно сказать	4	2
100	к тому	6	2
101	сводится к	2	2
102	по отношению	7	2
103	что они	3	2
104	одна из	2	2
105	но не	7	2
106	что мы	2	2
107	было бы	3	2
108	и сам	4	2
109	в свое	2	2
110	всяком случае	2	2
111	даже в	2	2
112	не есть	4	2
113	нам кажется	2	2
114	отношению к	7	2
115	своего рода	8	2
116	в форме	2	2
117	тогда как	20	2
118	он не	6	2
119	тем самым	4	2
120	а не	9	2
121	что не	3	2
122	его не	3	2
123	во всяком	2	2
124	что касается	3	2
125	он и	3	2
126	представляет собой	5	2
127	в этой	6	2
128	здесь не	3	2
129	когда мы	2	2
130	мира и	2	2
131	ничего не	3	2
