N	3gram	Losev_Dial_2	Myslijsy
1	в том что	6	7
2	само по себе	2	5
3	по крайней мере	9	5
4	о том что	4	5
5	не может быть	3	5
6	можно сказать что	3	4
7	то же самое	2	4
8	только тогда когда	4	4
9	тем не менее	2	4
10	до сих пор	2	4
11	сам по себе	3	4
12	и т п	2	4
13	не есть только	3	3
14	во всяком случае	2	3
15	с точки зрения	8	3
16	в то же	3	3
17	и т д	15	3
18	то же время	4	3
19	от того что	2	3
20	сами по себе	3	2
21	так или иначе	2	2
22	в данном случае	2	2
23	в том смысле	4	2
24	тогда когда оно	2	2
25	не что иное	3	2
26	в таком случае	3	2
27	не могут быть	2	2
28	это не значит	2	2
29	не в состоянии	2	2
30	что иное как	3	2
