N	2gram	Bakhtin_Fr_4	Sovremen
1	не может	2	17
2	точки зрения	4	12
3	может быть	2	12
4	таким образом	20	11
5	в этом	11	7
6	и в	29	7
7	и не	16	6
8	как и	12	6
9	в результате	4	6
10	мы можем	3	6
11	прежде всего	8	5
12	все эти	9	5
13	и наконец	2	5
14	с точки	2	5
15	как бы	8	4
16	мы видели	7	4
17	жизни и	4	4
18	это не	5	4
19	не только	10	4
20	с помощью	4	4
21	в том	7	4
22	в дальнейшем	3	4
23	их в	2	4
24	из них	6	4
25	так как	7	4
26	уже в	2	3
27	но мы	2	3
28	самого начала	3	3
29	все же	3	3
30	на этой	2	3
31	все это	4	3
32	в конце	9	3
33	то же	10	3
34	в нем	5	3
35	и к	2	3
36	с самого	3	3
37	в этой	13	3
38	еще не	4	3
39	при этом	3	3
40	и мы	2	3
41	и все	13	3
42	как он	2	3
43	в себе	3	3
44	но в	12	3
45	ведь это	3	3
46	так сказать	2	2
47	что это	5	2
48	и есть	4	2
49	у него	5	2
50	на их	2	2
51	в нашем	4	2
52	на котором	2	2
53	с одной	2	2
54	как мы	10	2
55	уже не	2	2
56	роль в	3	2
57	и даже	3	2
58	дает нам	2	2
59	и по	5	2
60	той же	3	2
61	мы видим	3	2
62	такой же	3	2
63	на этом	2	2
64	времени и	2	2
65	как известно	2	2
66	и они	3	2
67	тот же	3	2
68	в один	2	2
69	если же	2	2
70	на его	2	2
71	в которой	4	2
72	в его	8	2
73	все те	2	2
