N	2gram	Tiupa_Anal_2	Problemy
1	и в	16	35
2	как бы	10	31
3	и не	12	27
4	в его	2	21
5	но в	6	19
6	не может	4	18
7	как и	14	18
8	о себе	2	17
9	то есть	9	16
10	то же	4	15
11	с самим	3	15
12	и все	3	15
13	но и	12	14
14	для него	4	14
15	может быть	6	14
16	все это	4	14
17	в сущности	4	14
18	и его	4	14
19	в этом	18	14
20	он не	2	13
21	прежде всего	3	12
22	и к	5	12
23	в пределах	9	11
24	в то	2	11
25	не в	4	10
26	же время	2	10
27	не только	16	10
28	то что	7	10
29	так и	15	8
30	как мы	3	8
31	и слово	2	8
32	и для	2	8
33	и сам	3	7
34	лишь в	9	7
35	так же	2	7
36	а в	3	7
37	точки зрения	4	7
38	с ним	2	7
39	вовсе не	2	7
40	еще не	2	7
41	отношению к	4	7
42	таким образом	2	7
43	что в	2	6
44	к тому	7	6
45	в самом	6	6
46	и на	6	6
47	не знает	3	6
48	в одном	2	6
49	но не	4	6
50	и т.п	8	6
51	по отношению	4	6
52	только в	4	6
53	в конце	4	5
54	в том	12	5
55	так что	3	5
56	и даже	9	5
57	голосов в	2	5
58	с ними	3	5
59	он и	2	5
60	этого слова	3	5
61	даже в	2	5
62	на него	2	5
63	как в	4	5
64	внутренней речи	4	5
65	к своему	2	5
66	и то	3	5
67	в себе	7	5
68	на протяжении	2	5
69	никогда не	3	4
70	с другой	6	4
71	или иной	3	4
72	в мире	6	4
73	на его	3	4
74	не о	2	4
75	между тем	2	4
76	в эту	3	4
77	той или	3	4
78	ведь и	2	4
79	его в	2	4
80	бы в	3	4
81	у него	4	4
82	как раз	4	4
83	по себе	2	4
84	еще в	2	4
85	в своей	2	4
86	только на	3	4
87	а не	10	4
88	тем что	3	4
89	он в	4	4
90	я в	3	4
91	как будто	3	4
92	же не	2	4
93	появляется в	2	3
94	тому же	4	3
95	о своей	2	3
96	в общем	2	3
97	с ее	2	3
98	в целом	8	3
99	из них	3	3
100	другой стороны	2	3
101	я как	2	3
102	не мог	3	3
103	того что	2	3
104	сказать что	2	3
105	другого и	2	3
106	и во	2	3
107	говорить о	6	3
108	в диалоге	2	3
109	своего собственного	2	3
110	в котором	2	3
111	этом смысле	2	3
112	том что	12	3
113	было бы	3	3
114	за пределы	4	3
115	во всех	4	3
116	что и	3	3
117	сводится к	3	3
118	уже не	4	3
119	и т.д	3	3
120	ничего не	9	3
121	не менее	4	2
122	в сторону	5	2
123	в этих	2	2
124	столь же	4	2
125	вообще не	2	2
126	что все	2	2
127	что на	3	2
128	него на	4	2
129	из его	2	2
130	обращает на	3	2
131	на этом	4	2
132	что с	2	2
133	при этом	10	2
134	со своим	3	2
135	совпадает с	4	2
136	хотя и	4	2
137	речи в	2	2
138	в своем	4	2
139	те же	2	2
140	но эта	2	2
141	особенно в	7	2
142	тому как	3	2
143	о том	7	2
144	в произведении	2	2
145	я и	3	2
146	а как	2	2
147	уже и	2	2
148	не знаю	2	2
149	ведь ты	2	2
150	момент его	2	2
151	знаю что	2	2
152	а затем	2	2
153	должна была	2	2
154	здесь в	2	2
155	одной из	3	2
156	диалог в	2	2
157	себя в	2	2
158	своего рода	12	2
159	вместе с	2	2
160	говорит о	5	2
161	приводит к	3	2
162	и внутренне	2	2
163	в отличие	2	2
164	в речи	3	2
165	на этот	2	2
166	и он	2	2
167	с точки	2	2
168	той же	2	2
169	или в	3	2
170	можно было	3	2
171	не случайно	8	2
172	между двумя	4	2
173	вступает в	2	2
174	подобно тому	3	2
175	теми же	2	2
176	отличие от	2	2
177	это было	2	2
