N	2gram	Berdyaev_N_1	Narrotol
1	не только	5	32
2	может быть	7	25
3	но и	3	23
4	и не	11	20
5	и в	16	19
6	в том	8	18
7	в этом	7	17
8	том что	2	14
9	не в	6	14
10	а не	17	12
11	то что	4	11
12	а в	2	11
13	не может	16	10
14	так и	2	9
15	в мире	3	9
16	с другой	3	8
17	и т.п	2	8
18	в себе	2	8
19	времени и	2	7
20	как и	7	7
21	еще не	3	7
22	к тому	3	7
23	такого рода	2	7
24	как в	3	7
25	с одной	2	7
26	одной стороны	2	7
27	с его	6	6
28	но не	2	6
29	как это	2	6
30	на протяжении	2	6
31	о том	4	6
32	но в	2	6
33	себя в	2	5
34	уже не	2	5
35	в основе	3	5
36	прежде всего	4	4
37	в нем	5	4
38	у него	2	4
39	хотя бы	2	4
40	другой стороны	2	4
41	сказать что	3	4
42	и с	2	4
43	не существует	3	3
44	не менее	4	3
45	жизни в	3	3
46	же как	2	3
47	что в	9	3
48	могут быть	2	3
49	никогда не	6	3
50	в прошлом	3	3
51	ни в	6	3
52	это и	2	3
53	одна из	2	3
54	к содержанию	2	3
55	хотя и	2	3
56	в ней	5	3
57	он не	8	3
58	и даже	2	3
59	не есть	3	3
60	с ее	5	3
61	не будет	7	3
62	жизни и	8	3
63	в ее	3	3
64	бытия в	2	3
65	истории в	5	3
66	жизни как	2	3
67	и на	2	3
68	в то	2	3
69	как будто	2	3
70	зависит от	2	2
71	должна быть	3	2
72	быть может	4	2
73	по существу	2	2
74	есть в	2	2
75	она не	3	2
76	наряду с	3	2
77	в будущем	2	2
78	и потому	4	2
79	нет и	2	2
80	не имеет	4	2
81	который в	2	2
82	так же	2	2
83	не было	4	2
84	все эти	2	2
85	времени в	2	2
86	и для	4	2
87	это не	4	2
88	роль в	2	2
89	можно было	2	2
90	тому как	3	2
91	нового времени	12	2
92	подобно тому	3	2
93	и все	4	2
94	когда мы	2	2
95	мира и	2	2
96	более не	2	2
97	истории и	9	2
