N	2gram	Tiupa_Vved_1	VeschiIm
1	не может	7	33
2	не только	20	31
3	может быть	18	29
4	и не	12	28
5	и в	13	26
6	то что	6	24
7	а не	15	20
8	только в	6	14
9	того что	6	13
10	по себе	2	13
11	было бы	4	12
12	но и	19	12
13	все же	6	12
14	что же	3	11
15	таким образом	4	11
16	то же	5	10
17	уже не	5	10
18	в ней	4	10
19	как бы	4	10
20	потому что	5	10
21	что мы	2	10
22	что такое	18	10
23	в том	10	9
24	в самом	2	9
25	и с	2	9
26	прежде всего	7	9
27	но это	3	8
28	в себе	5	8
29	также и	4	7
30	говорить о	2	7
31	в то	4	7
32	если она	2	7
33	том что	7	7
34	как раз	2	7
35	в этом	21	7
36	ли это	2	7
37	ее не	2	6
38	что в	3	6
39	для него	3	6
40	жизни и	7	6
41	со стороны	5	6
42	в результате	3	6
43	но в	6	6
44	бы и	4	6
45	с ним	3	6
46	можно было	2	6
47	быть только	2	6
48	не менее	4	5
49	должна быть	2	5
50	это не	6	5
51	тем не	3	5
52	не в	6	5
53	свою очередь	4	5
54	еще не	7	5
55	а в	6	5
56	или не	2	5
57	если бы	7	5
58	отнюдь не	7	5
59	в свою	4	5
60	одна из	4	5
61	но не	5	5
62	и для	3	5
63	ни от	2	5
64	в своем	5	4
65	с другой	5	4
66	имеет смысл	2	4
67	же время	3	4
68	точка зрения	3	4
69	то и	2	4
70	быть не	4	4
71	о том	5	4
72	не существует	2	4
73	и более	3	4
74	и все	4	4
75	как и	11	4
76	во всех	2	4
77	что и	2	4
78	быть и	2	4
79	мы не	4	4
80	в данном	13	4
81	тем что	2	4
82	никогда не	4	3
83	можно сказать	4	3
84	к тому	6	3
85	более или	2	3
86	как о	2	3
87	в нем	5	3
88	отношение к	2	3
89	о ней	4	3
90	их в	2	3
91	мы имеем	5	3
92	в жизни	4	3
93	один из	3	3
94	могла бы	3	3
95	в своей	5	3
96	так и	8	3
97	или менее	2	3
98	а с	2	3
99	в той	4	3
100	самом деле	3	3
101	бы в	3	3
102	тому как	2	3
103	подобно тому	2	3
104	как оно	2	3
105	в основе	3	3
106	в частности	13	2
107	что на	2	2
108	и тем	2	2
109	данном случае	6	2
110	в слове	3	2
111	во втором	2	2
112	в своих	2	2
113	и понимания	2	2
114	в первом	2	2
115	то есть	8	2
116	мы можем	2	2
117	на него	2	2
118	но они	2	2
119	о которой	2	2
120	о чем	2	2
121	жизни в	4	2
122	не с	3	2
123	в силу	2	2
124	в качестве	8	2
125	к ее	3	2
126	наряду с	2	2
127	никак не	2	2
128	об этом	4	2
129	он не	3	2
130	отличаться от	2	2
131	как в	4	2
132	приводит к	2	2
133	тогда как	10	2
134	все равно	2	2
135	как мы	3	2
136	и мира	3	2
137	и его	5	2
138	или иначе	2	2
139	не все	2	2
140	том как	3	2
