N	2gram	Medvedev_U_1	Psycholo
1	и в	14	38
2	то что	7	35
3	в том	2	25
4	в самом	2	25
5	самом деле	2	21
6	может быть	6	19
7	что она	2	16
8	если бы	2	14
9	том что	2	14
10	в этой	4	13
11	в этом	7	13
12	было бы	3	12
13	не только	10	12
14	таким образом	2	12
15	не в	2	12
16	что он	2	11
17	то же	5	10
18	же самое	2	10
19	и не	8	10
20	все же	3	8
21	как и	3	8
22	как раз	2	8
23	и то	3	8
24	с другой	4	7
25	а не	10	7
26	не может	7	7
27	между тем	2	7
28	до сих	2	6
29	должна быть	2	5
30	в своей	3	5
31	но и	4	5
32	сих пор	2	5
33	другой стороны	3	5
34	мы не	2	5
35	в его	2	5
36	могли бы	2	5
37	и для	2	4
38	конечно не	4	4
39	что и	2	4
40	только в	2	4
41	в себе	2	4
42	что все	2	3
43	но это	2	3
44	все это	5	3
45	и только	5	3
46	тем что	2	3
47	в то	3	3
48	но в	3	3
49	не могут	2	2
50	всех этих	2	2
51	смысле этого	2	2
52	при таком	2	2
53	все они	2	2
54	хотя бы	5	2
55	надо было	2	2
56	у нас	3	2
57	по существу	2	2
58	очевидно что	3	2
59	для него	3	2
60	для этого	3	2
61	для всех	2	2
62	в конце	2	2
63	ничего не	2	2
