N	2gram	Bakhtin_Fr_3	KFilosof
1	может быть	9	43
2	в его	13	39
3	в нем	5	31
4	не может	3	27
5	и не	13	26
6	по отношению	3	25
7	и в	40	22
8	в котором	2	21
9	отношению к	2	21
10	в себе	3	21
11	в ее	3	17
12	а не	5	17
13	и его	17	17
14	только в	3	16
15	точки зрения	2	13
16	в этом	15	13
17	ни в	4	12
18	для него	5	12
19	но не	2	12
20	и это	2	12
21	все эти	8	11
22	в своей	6	11
23	к нему	2	11
24	в своем	7	10
25	это не	2	10
26	все это	4	10
27	во всех	6	10
28	и есть	3	9
29	в целом	2	9
30	но и	11	9
31	в их	4	9
32	как бы	3	9
33	и все	9	9
34	и для	5	9
35	не было	5	8
36	лишь в	2	8
37	если бы	3	8
38	было бы	4	8
39	жизни и	4	8
40	на основе	2	7
41	и здесь	4	7
42	во всем	3	7
43	вовсе не	12	7
44	конечно не	2	7
45	что и	3	7
46	то что	5	7
47	в том	8	6
48	но это	3	6
49	момент в	2	6
50	отношение к	8	6
51	в мире	4	6
52	он не	9	6
53	хотя бы	2	5
54	то же	7	5
55	но все	3	5
56	именно в	2	5
57	в основе	5	5
58	но как	2	5
59	но ведь	3	5
60	но в	8	5
61	как и	11	5
62	не только	13	5
63	все же	2	5
64	ко всему	2	5
65	со всем	2	5
66	там где	3	5
67	времени и	2	4
68	что в	12	4
69	здесь мы	2	4
70	при этом	3	4
71	в своих	5	4
72	между тем	3	4
73	в одном	7	4
74	быть в	2	4
75	том что	4	4
76	о нем	3	4
77	во всей	3	4
78	как его	2	4
79	а в	3	4
80	не менее	2	3
81	смысл в	2	3
82	до конца	6	3
83	в виду	7	3
84	здесь нет	2	3
85	в корне	2	3
86	рядом с	2	3
87	и на	8	3
88	в ней	4	3
89	в то	6	3
90	о том	4	3
91	но здесь	2	3
92	мы не	2	3
93	всех этих	3	3
94	но конечно	2	3
95	еще не	3	3
96	и этот	2	3
97	на самом	3	3
98	эти моменты	3	3
99	культуры и	7	3
100	самом деле	3	3
101	для того	3	3
102	тем что	3	3
103	в другом	3	3
104	здесь не	3	3
105	слова в	2	2
106	истины и	3	2
107	прежде всего	16	2
108	его к	2	2
109	или иной	2	2
110	и как	3	2
111	основе своей	2	2
112	это есть	2	2
113	же время	6	2
114	для этого	3	2
115	и других	6	2
116	для этой	3	2
117	потому что	2	2
118	на волю	2	2
119	он и	7	2
120	той или	2	2
121	с его	3	2
122	к этому	6	2
123	думать что	2	2
124	что он	2	2
125	и смерти	3	2
126	даны в	2	2
127	него и	2	2
128	со всеми	5	2
129	и потому	4	2
130	этого слова	2	2
131	дело не	3	2
132	так и	3	2
133	как в	3	2
134	в ту	7	2
135	еще более	4	2
136	это и	2	2
137	того чтобы	4	2
138	в данном	4	2
139	этот мир	2	2
140	в этой	3	2
141	дело в	2	2
142	в области	4	2
