N	2gram	Vinokur_St_3	Myslijsy
1	потому что	5	49
2	то есть	2	30
3	и в	25	24
4	может быть	19	23
5	то что	12	20
6	и не	10	19
7	а не	5	18
8	в том	20	18
9	что в	19	16
10	не только	12	15
11	того же	2	14
12	было бы	7	13
13	не в	6	13
14	но не	2	12
15	не может	7	12
16	то же	5	12
17	если бы	4	11
18	что мы	3	11
19	вместе с	2	11
20	мы не	2	11
21	только в	6	11
22	таким образом	10	11
23	для него	3	10
24	так что	11	10
25	как в	6	10
26	так как	3	10
27	тогда когда	2	10
28	независимо от	5	9
29	вовсе не	2	9
30	как бы	6	9
31	но и	9	9
32	то и	2	9
33	а в	6	8
34	том что	15	8
35	и на	6	8
36	в этом	24	8
37	могут быть	2	8
38	прежде всего	10	7
39	во всяком	4	7
40	всяком случае	4	7
41	во всех	2	7
42	как и	4	7
43	того что	5	7
44	между собою	2	7
45	тем что	19	7
46	с этим	7	7
47	в чем	4	7
48	что если	2	6
49	связи с	3	6
50	с другой	5	6
51	в свою	2	6
52	тем не	2	6
53	и т	8	6
54	не было	4	6
55	не имеет	2	6
56	между тем	6	6
57	в то	7	6
58	этого слова	2	6
59	и только	2	6
60	заметить что	2	6
61	уже в	3	5
62	не менее	2	5
63	по крайней	4	5
64	крайней мере	4	5
65	что они	2	5
66	что не	2	5
67	на то	5	5
68	о том	8	5
69	так и	5	5
70	в них	5	5
71	от того	2	5
72	а потому	2	5
73	для того	2	5
74	все же	4	5
75	в которой	4	5
76	место в	6	4
77	во время	3	4
78	никогда не	2	4
79	из этих	6	4
80	что он	19	4
81	уже не	3	4
82	такой же	2	4
83	одна из	2	4
84	до сих	2	4
85	еще не	2	4
86	и если	3	4
87	в самом	2	4
88	между прочим	3	4
89	время как	4	4
90	в котором	5	4
91	в некоторых	3	4
92	сих пор	2	4
93	с одной	2	4
94	и что	3	4
95	том смысле	2	4
96	так сказать	2	4
97	то время	4	4
98	с тем	4	4
99	но в	5	4
100	на вопрос	3	3
101	что это	16	3
102	это не	7	3
103	не как	2	3
104	от них	2	3
105	о которой	2	3
106	о которых	3	3
107	одной стороны	3	3
108	и может	2	3
109	но это	4	3
110	например в	4	3
111	относится к	4	3
112	не совсем	2	3
113	в ней	4	3
114	и во	2	3
115	если в	2	3
116	и тем	4	3
117	в целом	4	3
118	со стороны	3	3
119	только тогда	2	3
120	в словах	3	3
121	и тогда	2	3
122	только что	2	3
123	что его	2	3
124	в языке	8	3
125	т п	6	3
126	т д	2	3
127	быть не	2	3
128	и у	2	3
129	не так	3	3
130	и для	4	3
131	его не	2	3
132	как на	6	3
133	той же	2	3
134	что для	3	3
135	во многих	2	3
136	одно из	2	3
137	в каком	4	3
138	как например	8	3
139	в этих	11	3
140	в эту	4	3
141	в каждом	4	2
142	самого начала	2	2
143	всех этих	3	2
144	этом смысле	4	2
145	а то	2	2
146	и его	3	2
147	что у	2	2
148	в какой	3	2
149	но он	3	2
150	не столько	2	2
151	несколько раз	2	2
152	и это	5	2
153	не сразу	2	2
154	в жизни	4	2
155	что все	3	2
156	состоит в	4	2
157	к этому	3	2
158	с его	3	2
159	у нас	4	2
160	такое же	2	2
161	но все	2	2
162	были и	2	2
163	все эти	3	2
164	есть в	2	2
165	у него	9	2
166	же время	3	2
167	связано с	5	2
168	и тот	2	2
169	в общем	4	2
170	к ней	4	2
171	в его	12	2
172	себя и	2	2
173	один из	2	2
174	можно назвать	4	2
175	все это	8	2
176	другой стороны	5	2
177	внимание на	2	2
178	движения в	2	2
179	в связи	3	2
180	а а	6	2
181	а с	2	2
182	и других	2	2
183	мы находим	2	2
184	если и	2	2
185	самом деле	2	2
186	с самого	2	2
187	что такое	7	2
188	мы видим	4	2
189	и по	2	2
190	или в	2	2
191	и здесь	3	2
192	тем как	2	2
193	сказать что	4	2
194	тому что	3	2
195	не на	2	2
196	отношения между	5	2
197	в другом	3	2
198	на этом	3	2
199	с которыми	2	2
200	к которому	3	2
201	это было	8	2
