N	2gram	Potebnia_M_1	Russkaja
1	не может	22	22
2	и не	18	19
3	в том	26	17
4	в этом	15	17
5	и в	39	14
6	то что	10	13
7	таким образом	13	11
8	то же	6	11
9	точки зрения	8	11
10	же время	4	10
11	но и	20	10
12	в то	4	10
13	том что	16	9
14	не только	21	9
15	в себе	13	9
16	с точки	3	9
17	может быть	27	9
18	во всяком	3	9
19	прежде всего	4	8
20	того чтобы	2	8
21	как на	3	8
22	стремление к	2	7
23	к тому	4	7
24	и если	2	7
25	не будет	2	7
26	самого себя	4	7
27	мы должны	3	7
28	о том	2	7
29	и с	3	7
30	если бы	14	6
31	и при	3	6
32	с тем	5	6
33	для него	4	6
34	для того	3	6
35	для всех	5	6
36	в своем	3	6
37	и для	5	6
38	в своих	4	6
39	хотя бы	2	5
40	он должен	2	5
41	вопрос о	4	5
42	на то	2	5
43	при этом	6	5
44	было бы	12	5
45	в своей	3	5
46	он не	3	5
47	никогда не	4	5
48	в нем	20	5
49	во всех	5	5
50	а между	3	5
51	и только	2	5
52	а потому	10	5
53	а в	5	5
54	потому что	52	5
55	только в	25	5
56	между тем	5	5
57	но не	8	4
58	не могут	4	4
59	что в	22	4
60	то ни	3	4
61	тогда когда	9	4
62	в мире	3	4
63	как и	9	4
64	все что	2	4
65	как бы	6	4
66	все же	6	4
67	бы то	2	4
68	жизни и	2	4
69	вместе с	8	4
70	со стороны	8	4
71	от того	4	4
72	что же	2	4
73	в их	2	4
74	не в	15	4
75	и то	3	4
76	в этой	3	4
77	во всем	4	4
78	в его	5	4
79	так как	21	4
80	к этой	3	4
81	для них	2	3
82	что это	3	3
83	что бы	2	3
84	из этих	4	3
85	что все	3	3
86	с нею	4	3
87	таким же	2	3
88	о которых	2	3
89	и как	6	3
90	то в	5	3
91	должно быть	7	3
92	еще не	6	3
93	несмотря на	5	3
94	в самом	3	3
95	ни одна	2	3
96	но если	2	3
97	и потому	5	3
98	для этого	2	3
99	точке зрения	2	3
100	то это	5	3
101	что и	6	3
102	не есть	10	3
103	и т	6	3
104	все они	2	3
105	при котором	2	3
106	не было	4	3
107	что оно	2	3
108	того что	8	3
109	ко всем	2	3
110	и по	6	3
111	друг друга	5	3
112	что для	3	3
113	или в	2	3
114	тем что	9	3
115	и во	3	3
116	связи с	3	3
117	о котором	3	3
118	из этого	2	3
119	она может	3	3
120	в сознании	3	3
121	только для	3	2
122	зависит от	5	2
123	сама по	3	2
124	нисколько не	2	2
125	и более	2	2
126	должна быть	3	2
127	от нас	2	2
128	и есть	2	2
129	по этому	2	2
130	друг другу	3	2
131	были бы	3	2
132	и от	3	2
133	с этим	7	2
134	точно так	11	2
135	этот вопрос	2	2
136	народа и	2	2
137	представить себе	3	2
138	по себе	10	2
139	и вместе	2	2
140	бы ни	4	2
141	том и	2	2
142	уже не	2	2
143	следовательно и	2	2
144	так что	16	2
145	деятельности и	5	2
146	но это	5	2
147	их к	2	2
148	от него	4	2
149	не можем	2	2
150	проявляется в	2	2
151	она не	3	2
152	от друга	2	2
153	видеть в	2	2
154	и о	2	2
155	в ней	7	2
156	могут не	2	2
157	помнить что	3	2
158	но совершенно	2	2
159	для нее	2	2
160	если же	5	2
161	для себя	3	2
162	и тем	3	2
163	друг от	2	2
164	для нас	9	2
165	на основании	2	2
166	тому что	3	2
167	по отношению	13	2
168	тогда как	2	2
169	если не	2	2
170	в течение	2	2
171	только на	3	2
172	и что	10	2
173	тем самым	4	2
174	а не	21	2
175	и даже	4	2
176	не так	3	2
177	так же	5	2
178	в других	2	2
179	во многих	2	2
180	в глазах	3	2
181	в таком	5	2
182	том же	2	2
183	мы можем	2	2
184	даже и	2	2
185	в начале	2	2
186	в таких	2	2
187	как будто	2	2
188	в этих	7	2
189	с ним	3	2
190	и должно	2	2
191	но в	9	2
