N	2gram	Vygotskiy__5	Otkroven
1	у него	3	22
2	и в	30	19
3	но и	6	13
4	и не	6	13
5	в этом	14	12
6	а не	8	11
7	не в	8	11
8	человека в	3	11
9	может быть	11	11
10	не только	16	11
11	и все	4	10
12	вопрос о	3	10
13	в нем	7	10
14	никогда не	9	9
15	потому что	23	9
16	прежде всего	4	9
17	и он	2	8
18	он был	2	8
19	но он	3	7
20	до конца	2	7
21	от него	4	7
22	он не	3	7
23	в его	4	7
24	все это	2	6
25	как и	6	6
26	то что	37	5
27	а в	4	5
28	в том	27	5
29	для него	3	5
30	в этой	5	5
31	в самом	14	5
32	с его	2	4
33	того чтобы	20	4
34	и его	6	4
35	все эти	2	4
36	не может	9	4
37	что в	24	4
38	не могут	3	3
39	в этих	3	3
40	и есть	5	3
41	это не	3	3
42	и вот	2	3
43	что он	17	3
44	того что	8	3
45	для того	20	3
46	хотя бы	3	3
47	в своих	5	3
48	еще не	5	3
49	могут быть	8	3
50	в себе	5	3
51	было бы	5	3
52	когда он	5	3
53	о том	10	3
54	как бы	19	3
55	уже в	6	2
56	с которой	2	2
57	на периферии	2	2
58	все же	7	2
59	что и	3	2
60	не есть	4	2
61	он в	2	2
62	в душе	2	2
63	и для	6	2
64	с тем	8	2
65	так и	3	2
66	в своем	6	2
67	что у	3	2
68	что есть	2	2
69	что все	6	2
70	к этому	3	2
71	по себе	7	2
72	и к	4	2
73	должно быть	2	2
74	в ее	3	2
75	в которой	3	2
76	их не	2	2
77	том что	21	2
78	так что	3	2
79	в другом	3	2
80	и на	3	2
81	и то	9	2
82	что они	5	2
83	сказать что	9	2
84	и с	2	2
85	чем в	2	2
86	совсем не	2	2
87	тем что	6	2
88	даже и	2	2
89	мысль о	4	2
90	должен был	4	2
91	в своей	4	2
92	и ни	2	2
93	так как	9	2
94	и о	3	2
95	ничего не	2	2
96	не могли	4	2
97	но в	5	2
98	и потому	5	2
