N	3gram	Voloshinov_1	Marksizm
1	с точки зрения	10	20
2	не может быть	3	13
3	в самом деле	5	9
4	до сих пор	3	8
5	с самого начала	5	4
6	в большинстве случаев	4	3
7	в ее целом	3	3
8	в то же	5	3
9	то же время	5	3
10	и тот же	2	3
11	можно сказать что	3	3
12	в этом отношении	2	3
13	в высшей степени	2	3
14	один и тот	2	3
15	в том что	4	3
16	не могут быть	3	2
17	в таком случае	2	2
18	теперь мы должны	3	2
19	тем не менее	2	2
20	но в то	3	2
21	во всяком случае	3	2
22	и прежде всего	5	2
23	– все это	4	2
24	по отношению к	9	2
