N	2gram	Losev_Dial_1	OGranits
1	и в	18	13
2	прежде всего	10	9
3	не может	12	8
4	и не	30	8
5	может быть	17	8
6	и их	2	7
7	точки зрения	17	7
8	и пр	5	7
9	в его	3	7
10	не только	13	6
11	то что	13	6
12	только в	3	6
13	мы должны	5	6
14	как бы	11	6
15	все же	5	5
16	с точки	12	5
17	и эта	2	5
18	хотя бы	6	5
19	то же	10	4
20	не является	3	4
21	в своей	2	4
22	все это	11	4
23	в каждом	2	4
24	еще и	3	4
25	только и	4	4
26	мы можем	4	4
27	было бы	12	4
28	в сознании	3	4
29	но в	6	4
30	что в	13	3
31	никогда не	9	3
32	но и	7	3
33	так и	9	3
34	что же	3	3
35	в их	3	3
36	не как	2	3
37	и все	3	3
38	точку зрения	3	3
39	со всей	2	3
40	самом деле	3	3
41	да и	6	3
42	как и	2	3
43	не в	6	3
44	и то	9	3
45	одно и	4	3
46	в себе	11	3
47	говорить о	5	3
48	ничего общего	4	3
49	с этим	2	3
50	и для	2	3
51	общего с	5	3
52	так как	11	3
53	не менее	2	2
54	с этой	2	2
55	в нем	16	2
56	может иметь	3	2
57	сознания и	3	2
58	а не	14	2
59	что эта	4	2
60	думать что	3	2
61	в отношении	5	2
62	другой стороны	4	2
63	но так	2	2
64	с другой	6	2
65	в них	3	2
66	собственно говоря	4	2
67	а в	5	2
68	с одной	2	2
69	все эти	2	2
70	вовсе не	7	2
71	есть не	3	2
72	к тому	4	2
73	как в	2	2
74	если бы	12	2
75	в чем	6	2
76	не имеет	15	2
77	в том	9	2
78	так же	4	2
79	том что	9	2
80	мы видим	4	2
81	с ними	2	2
82	в данном	3	2
83	что они	3	2
84	в этом	12	2
85	от этого	3	2
86	учение о	11	2
87	и следовательно	2	2
88	могут быть	3	2
89	нуждается в	3	2
90	связанные с	2	2
91	для него	2	2
92	в другом	2	2
93	во всем	2	2
94	одной стороны	2	2
95	и может	2	2
96	несмотря на	10	2
97	в самом	3	2
98	мог бы	2	2
99	вслед за	2	2
100	и при	2	2
101	бы в	3	2
102	между собою	2	2
103	в ней	3	2
104	и является	2	2
