N	2gram	Nazirov_Tv_2	Vladivir
1	и в	20	30
2	в году	16	24
3	то что	3	20
4	в этом	8	20
5	у него	6	19
6	в том	8	18
7	и не	9	18
8	а н	2	14
9	и с	8	14
10	что он	6	13
11	в конце	6	13
12	же с	9	13
13	том что	4	12
14	что в	7	12
15	там же	9	12
16	не только	13	12
17	в его	10	11
18	а в	4	11
19	и вообще	2	10
20	и даже	5	10
21	не было	2	10
22	года он	3	10
23	соловьев в	2	9
24	письма т	2	9
25	не в	4	9
26	для него	3	9
27	все же	5	9
28	потому что	7	9
29	не может	7	9
30	м с	7	9
31	в то	10	9
32	вместе с	3	8
33	но и	8	8
34	но в	4	8
35	не менее	2	7
36	никогда не	11	7
37	может быть	8	7
38	а ф	3	7
39	а не	6	7
40	то есть	5	7
41	хотя и	4	6
42	к этому	3	6
43	прежде всего	8	6
44	об этом	4	6
45	у нас	2	6
46	только в	2	6
47	всяком случае	2	6
48	во всяком	2	6
49	года в	7	6
50	в себе	3	6
51	всякого рода	2	6
52	и его	9	6
53	декабря года	2	5
54	как и	6	5
55	так что	2	5
56	в дальнейшем	4	5
57	при этом	8	5
58	в своей	6	5
59	в основном	6	5
60	как бы	11	5
61	в котором	3	5
62	так и	6	5
63	все это	6	5
64	и что	2	5
65	в петербург	2	5
66	все эти	4	5
67	так как	3	5
68	с ним	3	5
69	из этого	2	5
70	именно в	6	4
71	с этой	3	4
72	я не	2	4
73	вовсе не	2	4
74	его в	3	4
75	что его	2	4
76	в этой	5	4
77	в целом	6	4
78	письма к	3	4
79	и если	2	4
80	на его	4	4
81	и мы	3	4
82	он не	3	4
83	в нем	3	4
84	крайней мере	2	4
85	него в	2	4
86	то же	7	4
87	и наконец	2	4
88	на этот	2	4
89	и он	2	4
90	так же	5	4
91	и на	5	4
92	но это	5	4
93	м м	11	4
94	марта года	4	4
95	в начале	3	4
96	о том	5	4
97	в которой	2	4
98	по крайней	2	4
99	уже в	2	3
100	т ii	2	3
101	едва ли	2	3
102	же время	7	3
103	что я	2	3
104	но не	5	3
105	том же	2	3
106	как в	4	3
107	в отличие	2	3
108	а а	4	3
109	таким образом	10	3
110	уже не	3	3
111	отличие от	2	3
112	в таком	3	3
113	не столько	2	3
114	в виде	2	3
115	октября года	2	3
116	января года	4	3
117	и это	3	3
118	нет ничего	3	3
119	в россии	2	3
120	не могли	2	3
121	как у	3	2
122	он сам	3	2
123	казалось бы	3	2
124	и есть	2	2
125	у достоевского	30	2
126	жизни в	3	2
127	он же	2	2
128	это не	7	2
129	июля года	2	2
130	и от	4	2
131	если не	4	2
132	друг друга	2	2
133	ii с	2	2
134	и сам	5	2
135	достоевского но	3	2
136	в самом	3	2
137	в статье	2	2
138	в частности	2	2
139	и потому	4	2
140	но уже	3	2
141	себя в	2	2
142	наряду с	7	2
143	его и	2	2
144	в их	3	2
145	начиная с	2	2
146	же году	2	2
147	что не	3	2
148	в чем	4	2
149	и по	2	2
150	во многих	2	2
151	в своих	3	2
152	их в	2	2
153	тут же	2	2
154	здравого смысла	2	2
155	которой он	2	2
156	ничего не	4	2
157	мы не	4	2
158	вообще говоря	2	2
