N	3gram	Medvedev_F_1	Marksizm
1	с точки зрения	13	13
2	не может быть	5	10
3	то же время	8	8
4	в то же	8	8
5	по отношению к	4	8
6	в связи с	2	7
7	в свою очередь	6	5
8	в большинстве случаев	2	5
9	может быть и	3	5
10	но в то	2	5
11	смысле этого слова	3	4
12	и пр и	2	4
13	как если бы	2	4
14	бы то ни	3	4
15	на самом деле	6	4
16	пр и пр	2	3
17	с одной стороны	4	3
18	и не может	2	3
19	и не в	2	3
20	как мы видели	2	3
21	до сих пор	6	3
22	более или менее	6	2
23	до настоящего времени	2	2
24	того или иного	2	2
25	только на почве	2	2
26	все более и	2	2
27	в зависимости от	2	2
28	во всяком случае	4	2
29	у нас не	2	2
30	одной стороны и	4	2
31	более и более	2	2
