N	2gram	Vinokur_St_1	VerxiiNi
1	и в	44	26
2	таким образом	7	22
3	в этом	21	15
4	точки зрения	11	13
5	как бы	4	12
6	в том	36	11
7	может быть	15	10
8	не только	18	10
9	и с	3	10
10	из этих	6	10
11	что в	30	9
12	но и	10	9
13	в области	14	9
14	так как	5	9
15	с другой	9	8
16	но не	3	8
17	и не	16	8
18	и у	2	8
19	связанные с	3	7
20	том что	29	7
21	но все	4	7
22	одной стороны	2	7
23	из них	8	7
24	к нему	2	7
25	то что	18	7
26	в эпоху	2	7
27	а с	3	7
28	с одной	3	7
29	потому что	6	7
30	но в	10	7
31	в конце	3	6
32	представление о	4	6
33	и потому	2	6
34	того же	3	6
35	несмотря на	2	6
36	всяком случае	6	6
37	что и	6	6
38	все же	8	6
39	так и	9	6
40	все это	5	6
41	в отношении	9	6
42	все эти	5	6
43	с точки	8	6
44	во всяком	6	6
45	в себе	2	6
46	о том	17	6
47	том числе	2	5
48	крайней мере	2	5
49	отношение к	2	5
50	до сих	7	5
51	в его	9	5
52	никогда не	5	5
53	сих пор	7	5
54	так же	5	5
55	лишь в	3	5
56	а не	16	5
57	того чтобы	11	5
58	для того	10	5
59	не имеет	4	5
60	и для	3	5
61	по крайней	2	5
62	должен был	2	4
63	в этих	2	4
64	что все	2	4
65	что он	10	4
66	в нем	5	4
67	очень мало	3	4
68	числе и	2	4
69	в самом	7	4
70	в котором	5	4
71	целый ряд	2	4
72	не может	8	4
73	и только	3	4
74	а в	17	4
75	то же	5	4
76	что оно	3	4
77	и что	4	4
78	и тогда	2	4
79	на этот	3	4
80	и по	5	4
81	в которых	5	4
82	во время	3	4
83	в виде	3	4
84	он не	2	4
85	в то	9	4
86	только в	10	4
87	то есть	2	4
88	в этой	11	4
89	не менее	5	3
90	же как	3	3
91	что это	4	3
92	если бы	9	3
93	из которого	2	3
94	так или	2	3
95	как о	2	3
96	хотя бы	6	3
97	ясно что	10	3
98	для него	6	3
99	так что	6	3
100	в своем	2	3
101	в качестве	4	3
102	случае не	2	3
103	если в	2	3
104	тем не	2	3
105	к концу	2	3
106	отношению к	3	3
107	к сожалению	3	3
108	при этом	2	3
109	но с	3	3
110	того что	9	3
111	и даже	5	3
112	в которой	4	3
113	и те	2	3
114	в таком	3	3
115	или иначе	2	3
116	с этой	3	3
117	в результате	3	3
118	в других	2	3
119	уже в	2	2
120	или иное	3	2
121	начиная с	2	2
122	именно в	6	2
123	одно из	2	2
124	при таком	2	2
125	превращается в	2	2
126	прежде всего	7	2
127	так называемой	2	2
128	не всегда	2	2
129	на то	4	2
130	в пользу	2	2
131	а также	2	2
132	по существу	2	2
133	в начале	3	2
134	должна была	4	2
135	же время	4	2
136	ни один	2	2
137	так например	7	2
138	что мы	5	2
139	еще не	3	2
140	и перед	2	2
141	со всеми	2	2
142	общего с	3	2
143	конечно не	2	2
144	вплоть до	5	2
145	должно было	2	2
146	но если	4	2
147	что о	3	2
148	жизни и	5	2
149	то или	3	2
150	во всех	8	2
151	никем не	2	2
152	быть и	2	2
153	для этого	2	2
154	не было	4	2
155	если не	2	2
156	этом отношении	7	2
157	мы имеем	2	2
158	и сейчас	4	2
159	свидетельствует о	2	2
160	можно назвать	2	2
161	сказать что	7	2
162	больше чем	2	2
163	не в	12	2
164	по своей	2	2
165	о котором	2	2
166	не могла	2	2
167	ничего общего	3	2
168	и все	2	2
169	и это	2	2
170	которые в	2	2
171	в россии	4	2
172	к которому	4	2
173	между тем	3	2
174	в новом	4	2
