N	2gram	Berdyaev_V_1	slovoVRo
1	и в	16	41
2	в нем	4	30
3	и т	2	28
4	могут быть	2	19
5	во всех	3	17
6	но и	5	16
7	и не	20	16
8	не только	2	16
9	а не	7	15
10	в его	4	13
11	как бы	5	12
12	в этом	4	12
13	так и	4	11
14	все эти	3	9
15	прежде всего	2	8
16	но в	3	8
17	не в	3	7
18	с ним	2	7
19	в своей	3	7
20	во всяком	2	7
21	это не	2	6
22	а в	2	6
23	в них	3	6
24	оно не	3	6
25	только в	2	6
26	все это	5	5
27	т д	2	5
28	в ней	4	4
29	один из	2	4
30	лишь в	3	4
31	и все	4	4
32	с его	3	4
33	как и	4	4
34	еще не	8	4
35	и потому	7	4
36	и для	3	4
37	не могут	2	3
38	никогда не	3	3
39	хотя бы	3	3
40	к тому	3	3
41	в том	3	3
42	и сам	2	3
43	для него	2	3
44	его и	2	3
45	того что	5	3
46	не было	3	3
47	в истории	8	3
48	так как	9	3
49	и во	2	3
50	конечно не	2	3
51	бы и	3	3
52	тому что	3	2
53	что все	4	2
54	для нас	2	2
55	мы и	2	2
56	что они	7	2
57	они в	3	2
58	хотя и	5	2
59	в этих	3	2
60	на том	2	2
61	уже не	2	2
62	должно быть	3	2
63	потому что	4	2
64	между тем	2	2
65	в котором	4	2
66	для них	2	2
67	в духе	2	2
68	том что	2	2
69	не с	2	2
70	одна из	2	2
71	но не	2	2
72	понимает и	2	2
73	а с	2	2
74	не есть	6	2
75	мы не	2	2
76	можно было	2	2
77	и то	2	2
78	от этого	3	2
79	а между	2	2
