N	2gram	Nazirov_Vr_1	Dialekti
1	и не	5	30
2	т е	3	25
3	и в	8	18
4	может быть	4	17
5	точки зрения	2	17
6	в нем	6	16
7	что в	7	13
8	то что	7	13
9	не только	9	13
10	и даже	6	13
11	и что	8	12
12	с точки	2	12
13	в этом	8	12
14	не может	2	12
15	что он	4	11
16	как бы	4	11
17	все это	4	11
18	в себе	2	11
19	несмотря на	4	10
20	то же	5	10
21	никогда не	2	9
22	отнюдь не	2	9
23	это не	4	9
24	в том	3	9
25	том что	3	9
26	– это	6	9
27	и то	2	9
28	но это	2	8
29	и как	3	7
30	но и	7	7
31	не было	5	6
32	в то	5	6
33	в чем	3	6
34	с ним	4	6
35	но в	6	6
36	я не	3	5
37	он сам	2	5
38	в своем	3	5
39	на то	3	5
40	как же	2	5
41	все же	6	5
42	отношение к	2	5
43	и он	2	5
44	а в	2	5
45	и с	6	5
46	в виду	4	5
47	в конце	3	4
48	об этом	5	4
49	же время	5	4
50	в котором	6	4
51	так же	4	4
52	как раз	2	4
53	о том	4	4
54	в них	2	3
55	в одну	2	3
56	что я	2	3
57	и о	3	3
58	он не	3	3
59	в его	3	3
60	его с	2	3
61	отношения к	2	3
62	в ней	4	3
63	и все	7	3
64	не менее	2	2
65	же как	2	2
66	к этому	3	2
67	в мире	2	2
68	как и	6	2
69	для него	2	2
70	еще не	2	2
71	о чем	2	2
72	к ним	2	2
73	в него	2	2
74	тем более	2	2
75	из них	2	2
76	в своей	2	2
77	а с	2	2
78	уже не	2	2
79	и у	3	2
80	но как	2	2
81	и это	2	2
