N	3gram	Propp_Isto_5	Morfolog
1	и т д	18	47
2	в этих случаях	6	13
3	мы видим что	4	9
4	в этом случае	7	9
5	в связи с	4	8
6	не может быть	3	8
7	в иное царство	4	6
8	таким образом мы	2	5
9	наряду с этим	2	5
10	тем не менее	4	4
11	с другой стороны	8	4
12	по отношению к	2	4
13	мы увидим ниже	3	4
14	как и в	2	3
15	как мы увидим	3	3
16	можно наблюдать что	2	3
17	но все же	4	3
18	с одной стороны	7	2
19	и таким образом	2	2
20	во время боя	3	2
21	в таких случаях	2	2
22	в том что	2	2
23	при помощи которой	2	2
24	для того чтобы	3	2
