N	2gram	Voloshinov_1	Istorich
1	и в	16	24
2	что он	2	21
3	не только	7	21
4	может быть	17	14
5	не может	8	14
6	в этих	3	13
7	что в	3	13
8	в этом	9	12
9	но и	4	11
10	у него	2	10
11	том что	3	10
12	а в	3	10
13	мы видим	2	10
14	о том	2	9
15	еще не	5	8
16	что и	2	8
17	все это	4	8
18	то же	2	8
19	так как	4	8
20	один из	2	7
21	в том	3	7
22	во всех	3	7
23	то что	3	7
24	вместе с	3	7
25	таким образом	9	7
26	с этой	2	6
27	для нас	2	6
28	как и	2	6
29	так же	2	6
30	в нем	4	6
31	он не	2	6
32	и все	4	6
33	во время	3	6
34	только в	4	6
35	что это	2	6
36	не менее	2	5
37	отношение к	5	5
38	так и	4	5
39	в чем	5	5
40	с ним	2	5
41	но в	4	5
42	никогда не	2	4
43	при этом	6	4
44	есть и	2	4
45	мы уже	2	4
46	же как	2	4
47	как бы	5	4
48	и не	4	4
49	мы не	2	4
50	точки зрения	8	4
51	на первый	2	4
52	мы можем	9	4
53	с его	7	3
54	в них	2	3
55	кажется что	2	3
56	его в	4	3
57	сих пор	3	3
58	ее в	2	3
59	как мы	4	3
60	и она	3	3
61	и наконец	4	3
62	и даже	4	3
63	и по	2	3
64	и его	8	3
65	но это	2	3
66	знаем что	2	3
67	к себе	3	3
68	из этих	2	3
69	что мы	2	3
70	и этим	2	3
71	не будет	2	2
72	того же	2	2
73	вообще не	2	2
74	и так	2	2
75	к этому	2	2
76	прежде всего	9	2
77	не могут	2	2
78	не можем	2	2
79	и ее	4	2
80	мы знаем	3	2
81	ни в	5	2
82	и оно	3	2
83	связанные с	2	2
84	было бы	2	2
85	в самом	2	2
86	но оно	3	2
87	и о	2	2
88	к ним	2	2
89	в основном	3	2
90	и др	3	2
91	другими словами	2	2
92	во сне	2	2
93	что не	2	2
94	что такое	5	2
95	как это	3	2
96	всех других	2	2
97	сказать что	7	2
98	в основе	3	2
99	с этим	2	2
100	и на	4	2
101	они не	2	2
102	только на	3	2
103	в один	4	2
104	все эти	5	2
105	и это	6	2
106	конечно не	6	2
107	к отцу	6	2
108	до сих	3	2
