N	3gram	Vygotskiy__4	Myshleni
1	в том что	12	19
2	с точки зрения	4	10
3	для того чтобы	19	8
4	с самого начала	5	7
5	к тому что	5	7
6	в то время	2	6
7	так же как	3	6
8	то же самое	6	6
9	можно было бы	4	5
10	друг с другом	4	5
11	то время как	2	5
12	заключается в том	3	5
13	в сущности говоря	2	4
14	на то что	6	4
15	потому что он	2	4
16	и той же	2	3
17	те же самые	2	3
18	так же точно	5	3
19	до сих пор	3	3
20	одной и той	2	3
21	то что мы	3	2
22	показать что все	2	2
23	то что он	3	2
24	с другой стороны	2	2
25	не только не	2	2
26	вместо того чтобы	2	2
27	как раз в	4	2
28	вместе с тем	2	2
