N	2gram	Tiupa_Narr_1	Mirosoze
1	может быть	25	30
2	не только	32	29
3	и в	19	28
4	не может	10	28
5	но и	23	25
6	а не	12	25
7	он не	3	24
8	в этом	17	20
9	не было	2	18
10	у него	4	17
11	не в	14	16
12	в ней	3	15
13	никогда не	3	14
14	в нем	4	13
15	человека в	2	13
16	и он	3	12
17	для него	2	11
18	и не	20	11
19	что в	3	10
20	в своем	2	10
21	в мире	9	10
22	прежде всего	4	10
23	и все	2	10
24	что он	6	10
25	было бы	4	10
26	и потому	2	10
27	в его	9	9
28	не есть	3	9
29	и его	5	9
30	но не	5	8
31	быть может	2	7
32	но в	6	7
33	к нему	5	7
34	в себе	8	7
35	он сам	2	6
36	должна быть	2	6
37	в том	18	6
38	в этой	5	6
39	и на	3	6
40	он уже	2	6
41	только в	4	6
42	это не	2	5
43	мира и	2	5
44	как и	7	5
45	то что	11	5
46	нет и	2	5
47	в самую	2	5
48	уже в	3	4
49	мог бы	3	4
50	отношение к	2	4
51	отношения к	2	4
52	а в	11	4
53	точки зрения	10	4
54	не как	2	4
55	один из	3	4
56	это и	3	4
57	она не	2	4
58	уже не	5	4
59	тем что	3	4
60	себя и	2	3
61	нет у	2	3
62	к тому	7	3
63	не мог	4	3
64	не имеет	2	3
65	особенно в	3	3
66	его в	2	3
67	то есть	19	3
68	и с	4	3
69	с его	6	3
70	одно из	2	3
71	в ее	3	3
72	том что	14	3
73	ничего не	2	3
74	на том	3	3
75	в иной	2	3
76	себя в	5	3
77	когда он	3	3
78	будто бы	3	3
79	его личности	2	3
80	хотя бы	4	3
81	может не	3	2
82	за собой	4	2
83	его как	2	2
84	о своей	2	2
85	в свою	3	2
86	о чем	2	2
87	истории в	3	2
88	одним из	2	2
89	жизни и	3	2
90	могут быть	3	2
91	отличается от	4	2
92	по отношению	7	2
93	все эти	2	2
94	сказать что	4	2
95	по своей	3	2
96	как бы	4	2
97	о том	6	2
98	когда мы	2	2
99	не существует	3	2
100	в основе	5	2
101	жизни в	3	2
102	личности в	2	2
103	различие между	2	2
104	отношению к	6	2
105	в то	3	2
106	как будто	3	2
107	и когда	2	2
108	о нем	4	2
109	все же	7	2
110	как в	7	2
111	приводит к	2	2
112	она может	2	2
113	бы не	2	2
114	истории и	2	2
115	в той	6	2
116	и как	5	2
117	и для	2	2
118	на протяжении	6	2
119	не все	5	2
