N	2gram	Medvedev_S_1	VeschiIm
1	не только	3	31
2	может быть	2	29
3	и в	3	26
4	то что	2	24
5	в смысле	2	15
6	только в	2	14
7	и что	2	13
8	было бы	2	12
9	но и	2	12
10	таким образом	2	11
11	то же	2	10
12	как бы	2	10
13	в том	5	9
14	том что	2	7
15	в этом	5	7
16	что в	2	6
17	и только	3	6
18	в результате	2	6
19	должна быть	2	5
20	не в	3	5
21	еще не	2	5
22	это и	2	5
23	как только	2	4
24	как же	3	4
25	и мы	2	4
26	все это	7	3
27	она может	2	3
28	нужно было	2	3
29	тем более	2	3
30	в частности	2	2
31	но ведь	3	2
