N	2gram	Vinokur_Ku_2	VrazhdaK
1	в году	2	18
2	не только	20	9
3	в этом	18	8
4	и что	8	8
5	и в	23	8
6	но и	7	7
7	что в	10	7
8	достоевского и	2	7
9	то что	9	7
10	и все	2	7
11	в нем	4	6
12	все же	7	6
13	и даже	2	6
14	как и	2	6
15	но в	11	6
16	и с	7	6
17	то же	6	5
18	не было	4	5
19	и не	16	5
20	у него	3	5
21	об этом	5	5
22	между тем	6	5
23	в то	4	5
24	же время	3	5
25	уже в	3	4
26	для нас	4	4
27	как бы	4	4
28	все это	5	4
29	целый ряд	5	4
30	это не	6	4
31	что он	5	4
32	так же	4	4
33	в своих	2	4
34	может быть	15	4
35	при этом	2	4
36	несмотря на	5	4
37	в ней	3	4
38	в виду	3	4
39	речь идет	2	3
40	я не	5	3
41	связи с	3	3
42	в своем	2	3
43	что у	2	3
44	в связи	4	3
45	в конце	4	3
46	т е	22	3
47	к этому	4	3
48	на то	4	3
49	и у	2	3
50	в том	19	3
51	и его	3	3
52	том что	11	3
53	тем что	3	3
54	в его	5	3
55	и о	4	3
56	он не	3	3
57	в своей	2	2
58	и это	3	2
59	не менее	7	2
60	никогда не	2	2
61	вместе с	5	2
62	отнюдь не	4	2
63	в них	4	2
64	как раз	3	2
65	так в	3	2
66	и далее	2	2
67	не может	9	2
68	а в	3	2
69	отношения к	2	2
70	таким образом	5	2
71	рядом с	2	2
72	это в	2	2
73	п в	3	2
74	в одну	2	2
75	но это	3	2
76	в той	2	2
77	уже не	8	2
78	мы знаем	4	2
79	с точки	8	2
80	же в	3	2
81	в глазах	2	2
82	в этой	6	2
83	что я	4	2
84	и то	5	2
85	же как	2	2
86	точки зрения	14	2
87	в свою	2	2
88	в нашей	4	2
89	еще не	5	2
90	печати и	2	2
91	на это	3	2
92	ответ на	2	2
93	за год	2	2
94	а также	3	2
