N	2gram	Bakhtin_fo_2	Stilisti
1	и в	46	42
2	как бы	10	27
3	не только	11	27
4	и т.п	2	24
5	прежде всего	14	22
6	но и	9	15
7	то же	8	15
8	и не	9	14
9	может быть	7	12
10	не может	2	12
11	точки зрения	10	11
12	как и	8	11
13	мы уже	9	11
14	и как	3	10
15	отнюдь не	4	10
16	как мы	6	10
17	в этом	22	10
18	при этом	6	9
19	в то	5	9
20	то что	7	9
21	для того	8	9
22	все же	6	8
23	таким образом	3	8
24	с тем	2	8
25	в себе	4	8
26	и это	2	8
27	никогда не	6	7
28	и от	2	7
29	же время	4	7
30	и на	7	7
31	потому что	8	7
32	так как	6	7
33	было бы	2	7
34	а не	4	7
35	того чтобы	8	7
36	и его	12	7
37	только в	11	7
38	или иной	2	6
39	мы будем	3	6
40	не в	9	6
41	в этой	2	6
42	в форме	3	6
43	в конце	2	6
44	и так	2	6
45	в нем	5	6
46	во всех	11	6
47	так и	7	6
48	уже в	4	5
49	своей жизни	2	5
50	не является	3	5
51	мы видели	2	5
52	и их	4	5
53	те же	6	5
54	с помощью	3	5
55	а в	3	5
56	и с	6	5
57	и наконец	6	5
58	же самое	3	5
59	как это	2	5
60	в его	8	5
61	вместе с	9	5
62	в той	2	5
63	с точки	8	5
64	слова и	3	5
65	можно сказать	2	4
66	к тому	3	4
67	влияние на	2	4
68	в качестве	3	4
69	точка зрения	3	4
70	один из	2	4
71	все это	6	4
72	того что	3	4
73	так же	2	4
74	о том	4	4
75	его в	6	4
76	но в	10	4
77	и к	2	4
78	у нас	2	4
79	мы видим	2	4
80	всего в	3	4
81	уже не	3	4
82	и пр	2	4
83	тем же	2	4
84	то есть	10	4
85	так сказать	7	4
86	до того	2	3
87	связанных с	3	3
88	это не	2	3
89	этом случае	2	3
90	словом и	2	3
91	здесь мы	3	3
92	не мог	2	3
93	хотя и	3	3
94	в котором	4	3
95	из них	8	3
96	жизни и	8	3
97	и вот	2	3
98	лишь в	2	3
99	и даже	3	3
100	их в	4	3
101	та же	3	3
102	в виду	3	3
103	что было	3	3
104	и все	6	3
105	в одном	7	3
106	том что	4	3
107	еще не	6	3
108	конечно не	4	3
109	нет и	3	3
110	что и	3	3
111	отношения к	4	3
112	если не	2	3
113	между ними	2	3
114	и для	9	3
115	роль в	3	3
116	связи с	8	3
117	не знает	2	3
118	место в	4	2
119	в частности	5	2
120	друг другу	2	2
121	человека и	4	2
122	человека в	6	2
123	как уже	3	2
124	в мире	4	2
125	в том	10	2
126	но это	2	2
127	больше и	2	2
128	для него	3	2
129	до конца	2	2
130	в пределах	5	2
131	за ними	4	2
132	в этих	3	2
133	отношение к	3	2
134	целый ряд	3	2
135	в связи	8	2
136	в отношении	2	2
137	не было	3	2
138	этом отношении	2	2
139	все эти	5	2
140	но эта	2	2
141	должно быть	5	2
142	в которых	3	2
143	каждый из	2	2
144	также и	4	2
145	мы имеем	2	2
146	в основе	6	2
147	с этим	5	2
148	к этому	3	2
149	связанные с	5	2
150	значение и	4	2
151	человек не	2	2
152	что он	3	2
153	на первый	3	2
154	и несколько	2	2
155	самое время	3	2
156	в действительной	2	2
157	но не	5	2
158	по своему	2	2
159	а на	2	2
160	равно как	2	2
161	тот же	3	2
162	и потому	2	2
163	на развитие	3	2
164	сих пор	2	2
165	как в	4	2
166	здесь не	2	2
167	и он	4	2
168	в дальнейшем	5	2
169	с ним	4	2
170	у них	2	2
171	тем что	3	2
