N	2gram	Bakhtin_Fr_7	slovoVRo
1	и в	41	41
2	в нем	7	30
3	то есть	20	26
4	в романе	7	21
5	во всех	3	17
6	но и	9	16
7	и не	7	16
8	точки зрения	5	16
9	не только	5	16
10	а не	2	15
11	то же	13	14
12	может быть	4	14
13	и др	2	14
14	не может	3	14
15	и его	9	14
16	и на	4	14
17	в то	10	14
18	в сущности	4	13
19	в его	12	13
20	же время	9	12
21	до конца	2	12
22	как бы	7	12
23	в этом	15	12
24	так и	10	11
25	в большинстве	2	10
26	в той	3	10
27	таким образом	19	9
28	все эти	13	9
29	прежде всего	11	8
30	точка зрения	2	8
31	в особенности	2	8
32	но в	8	8
33	как в	5	8
34	как мы	11	8
35	с точки	3	8
36	или в	2	8
37	все они	6	7
38	не в	9	7
39	отношение к	2	7
40	с ним	2	7
41	вовсе не	7	7
42	в своей	3	7
43	во всяком	2	7
44	в отношении	3	6
45	того же	3	6
46	это не	6	6
47	при этом	3	6
48	а в	5	6
49	большинстве случаев	2	6
50	в плане	5	6
51	в них	7	6
52	оно не	2	6
53	только в	6	6
54	все это	10	5
55	и к	5	5
56	не на	3	5
57	еще более	2	5
58	к нему	5	5
59	далеко не	2	5
60	так сказать	3	5
61	связанных с	3	4
62	перед нами	2	4
63	и от	8	4
64	оно и	2	4
65	кроме того	3	4
66	в ней	5	4
67	с ее	3	4
68	в их	3	4
69	и наконец	4	4
70	рядом с	4	4
71	и с	4	4
72	в которой	2	4
73	и все	14	4
74	с его	2	4
75	как и	14	4
76	еще не	2	4
77	но именно	3	4
78	и потому	3	4
79	о нем	3	4
80	в процессе	2	4
81	и для	5	4
82	ту же	2	4
83	ничего не	4	4
84	все его	3	4
85	все время	2	3
86	никогда не	2	3
87	на всю	2	3
88	к тому	2	3
89	мы найдем	3	3
90	в том	11	3
91	следовательно и	2	3
92	более или	2	3
93	в свою	3	3
94	для него	6	3
95	формах и	2	3
96	и оценок	2	3
97	из них	3	3
98	в своем	9	3
99	в разных	2	3
100	именно в	2	3
101	и других	2	3
102	того что	2	3
103	с ними	3	3
104	также и	2	3
105	в результате	2	3
106	и здесь	4	3
107	не было	3	3
108	о том	6	3
109	его в	3	3
110	так как	3	3
111	поэтому и	3	3
112	у него	6	3
113	и во	2	3
114	с этим	2	3
115	связанные с	3	3
116	не должно	3	3
117	в себе	11	3
118	по существу	8	3
119	в качестве	9	3
120	и может	2	3
121	было бы	4	3
122	одной из	2	3
123	он не	4	3
124	в свое	2	3
125	у рабле	18	3
126	или менее	2	3
127	в данном	2	3
128	и ее	2	3
129	выражение в	3	3
130	свою очередь	3	2
131	все свои	2	2
132	характерно что	2	2
133	одного из	2	2
134	что все	2	2
135	том и	2	2
136	правда не	2	2
137	ни было	2	2
138	его как	2	2
139	и самая	2	2
140	в построении	2	2
141	на этом	5	2
142	они в	2	2
143	например в	3	2
144	хотя и	4	2
145	и по	3	2
146	в этих	2	2
147	на том	2	2
148	уже не	2	2
149	имеет дело	2	2
150	одновременно и	2	2
151	у них	2	2
152	и глубокое	2	2
153	должно быть	4	2
154	так же	5	2
155	и те	3	2
156	потому что	5	2
157	они как	2	2
158	но он	4	2
159	иногда в	3	2
160	оно было	2	2
161	явление в	2	2
162	но по	2	2
163	он может	3	2
164	дело не	2	2
165	в одном	3	2
166	к этому	5	2
167	из одного	4	2
168	интерес к	2	2
169	остановимся на	2	2
170	том что	4	2
171	мы видим	6	2
172	одна из	4	2
173	по своему	2	2
174	а на	2	2
175	одно и	2	2
176	слов и	4	2
177	мы уже	12	2
178	а также	2	2
179	на самом	2	2
180	только на	2	2
181	и у	5	2
182	и эта	3	2
183	не есть	2	2
184	той же	3	2
185	роль в	2	2
186	мы не	2	2
187	можно было	3	2
188	и заставляет	2	2
189	нас в	3	2
190	и то	2	2
191	от этого	3	2
