N	2gram	Nazirov_Tv_1	Narrotol
1	не только	7	32
2	может быть	5	25
3	но и	3	23
4	в качестве	2	21
5	и не	7	20
6	и в	21	19
7	то есть	12	19
8	в том	7	18
9	в этом	6	17
10	в частности	2	14
11	том что	11	14
12	не в	2	14
13	а не	5	12
14	своего рода	4	12
15	представляет собой	3	12
16	то что	8	11
17	а в	6	11
18	не может	4	10
19	при этом	7	9
20	так и	2	9
21	в его	13	9
22	в мире	4	9
23	с другой	3	8
24	во времени	3	8
25	в себе	2	8
26	времени и	4	7
27	как и	12	7
28	к тому	2	7
29	все же	5	7
30	как в	8	7
31	с его	11	6
32	что он	6	6
33	то в	2	6
34	но не	3	6
35	именно в	2	6
36	в себя	2	6
37	тем самым	7	6
38	на протяжении	3	6
39	о том	6	6
40	но в	7	6
41	и как	4	5
42	отнюдь не	5	5
43	можно сказать	2	5
44	уже не	3	5
45	и его	6	5
46	в данном	2	5
47	в основе	2	5
48	в отличие	2	5
49	отличие от	2	5
50	в этой	5	5
51	далеко не	3	5
52	мира в	2	5
53	перед нами	2	4
54	прежде всего	4	4
55	в пространстве	2	4
56	одного из	2	4
57	в нем	3	4
58	у него	7	4
59	что не	2	4
60	то же	13	4
61	же время	12	4
62	вслед за	2	4
63	одной из	4	4
64	как бы	17	4
65	и тем	2	4
66	хотя бы	5	4
67	данном случае	2	4
68	не мог	2	4
69	в принципе	2	4
70	не столько	2	4
71	в рассказе	3	4
72	сказать что	2	4
73	только в	5	4
74	героя и	2	4
75	и с	3	4
76	не существует	3	3
77	не менее	6	3
78	жизни в	6	3
79	что в	12	3
80	могут быть	2	3
81	никогда не	3	3
82	уже в	3	3
83	в свою	7	3
84	тем не	2	3
85	это и	3	3
86	может не	2	3
87	одна из	2	3
88	на том	2	3
89	хотя и	3	3
90	в ней	2	3
91	он не	8	3
92	и даже	3	3
93	если в	2	3
94	один из	4	3
95	с ее	3	3
96	не будет	2	3
97	в первом	2	3
98	из них	2	3
99	жизни и	3	3
100	когда он	2	3
101	и он	2	3
102	и на	7	3
103	в конечном	4	3
104	в то	15	3
105	как будто	5	3
106	он сам	6	2
107	зависит от	2	2
108	конечном счете	4	2
109	в своем	4	2
110	себе не	2	2
111	та же	4	2
112	точно так	2	2
113	быть может	2	2
114	личности в	2	2
115	в литературе	2	2
116	а по	2	2
117	его как	2	2
118	говорит о	3	2
119	для него	6	2
120	было в	2	2
121	сути дела	3	2
122	и когда	2	2
123	для автора	2	2
124	авторской позиции	3	2
125	даже в	3	2
126	по сути	4	2
127	во второй	2	2
128	время в	3	2
129	приводит к	2	2
130	которого он	2	2
131	который в	3	2
132	во всей	2	2
133	так же	3	2
134	как к	2	2
135	в двух	2	2
136	человека в	6	2
137	самом деле	2	2
138	времени в	13	2
139	одним из	4	2
140	это не	4	2
141	но без	2	2
142	или в	2	2
143	не случайно	4	2
144	однако в	2	2
145	не то	2	2
146	приходит к	3	2
147	прошлого и	2	2
148	и все	6	2
149	более не	2	2
