N	2gram	Tiupa_Narr_1	UchenyiS
1	и в	19	14
2	а не	12	10
3	не только	32	10
4	и не	20	8
5	прежде всего	4	8
6	то что	11	7
7	в этом	17	7
8	не может	10	7
9	может быть	25	6
10	хотя бы	4	5
11	и только	2	5
12	то же	4	5
13	но и	23	4
14	в этой	5	4
15	конечном счете	2	4
16	с другой	8	4
17	в конечном	3	4
18	но в	6	3
19	как и	7	3
20	все же	7	3
21	в частности	14	3
22	бы то	3	3
23	то ни	3	3
24	же время	4	3
25	другой стороны	4	3
26	для него	2	3
27	это не	2	3
28	в то	3	3
29	не как	2	3
30	было бы	4	3
31	и т.д	7	3
32	в области	2	3
33	не о	3	3
34	ни было	3	3
35	том что	14	2
36	но не	5	2
37	в том	18	2
38	не все	5	2
39	по существу	2	2
40	с его	6	2
41	не есть	3	2
42	не в	14	2
43	и для	2	2
44	должна быть	2	2
45	в противовес	4	2
46	не столько	4	2
47	о чем	2	2
48	не случайно	2	2
49	только в	4	2
50	и с	4	2
51	тем что	3	2
52	могут быть	3	2
53	что он	6	2
54	в себе	8	2
55	как раз	2	2
56	что мы	2	2
57	если не	4	2
58	этом отношении	3	2
59	по себе	5	2
60	сводится к	3	2
61	одним из	2	2
62	ничего не	2	2
63	самом деле	2	2
64	в его	9	2
65	между тем	3	2
66	на первый	2	2
67	же не	4	2
