N	2gram	Vinokur_St_2	Hudozhes
1	в качестве	5	19
2	и не	9	16
3	в том	27	15
4	и в	29	15
5	не только	19	15
6	в частности	4	13
7	может быть	2	13
8	тогда как	2	13
9	при этом	2	12
10	и его	6	12
11	но не	3	11
12	в этом	21	11
13	в себе	2	11
14	как бы	5	10
15	но и	19	10
16	так и	9	10
17	то же	2	10
18	а не	5	10
19	такого рода	2	9
20	в его	13	9
21	точки зрения	5	9
22	своего рода	5	8
23	с другой	4	7
24	в отличие	2	7
25	в то	2	7
26	отличие от	2	7
27	но в	8	7
28	с его	2	6
29	что в	19	6
30	в ее	2	6
31	том что	27	6
32	не в	4	6
33	не может	2	6
34	а также	2	5
35	ни в	3	5
36	только в	2	5
37	в самом	7	5
38	того что	5	5
39	в нем	4	5
40	то что	11	5
41	или менее	2	5
42	другой стороны	3	5
43	в их	3	5
44	более или	2	5
45	в этих	3	4
46	не столько	7	4
47	прежде всего	5	4
48	к тому	10	4
49	и как	2	4
50	в другом	4	4
51	для него	4	4
52	например в	3	4
53	хотя и	4	4
54	он не	9	4
55	в своей	7	4
56	со стороны	2	4
57	по пути	2	4
58	сказать что	2	4
59	между тем	5	4
60	как это	2	4
61	не менее	3	3
62	если бы	2	3
63	в отношении	2	3
64	была бы	5	3
65	что он	13	3
66	и к	4	3
67	тем не	2	3
68	по своему	2	3
69	того же	2	3
70	о чем	5	3
71	как раз	8	3
72	как говорит	2	3
73	не на	2	3
74	таким образом	10	3
75	как и	2	3
76	в той	5	3
77	и что	6	3
78	с точки	2	3
79	потому что	9	3
80	но он	3	3
81	в данном	2	3
82	в русской	5	3
83	его в	2	3
84	в которой	11	3
85	в области	2	3
86	в виду	7	3
87	я не	7	2
88	речь идет	4	2
89	и более	2	2
90	тому что	7	2
91	в своем	9	2
92	в них	2	2
93	в одном	6	2
94	вовсе не	6	2
95	по себе	3	2
96	только о	2	2
97	к своему	2	2
98	об этом	6	2
99	идет о	3	2
100	времени и	4	2
101	в значительной	2	2
102	случае не	2	2
103	и сам	2	2
104	несмотря на	2	2
105	значительной степени	2	2
106	и о	4	2
107	одной из	3	2
108	и потому	2	2
109	на почве	2	2
110	даже в	2	2
111	не является	3	2
112	оно не	3	2
113	не могло	3	2
114	и др	2	2
115	дело не	2	2
116	как в	3	2
117	могло быть	3	2
118	в романе	4	2
119	а с	3	2
120	именно в	4	2
121	все эти	2	2
122	в году	3	2
123	того чтобы	6	2
124	для того	7	2
125	и по	3	2
126	так же	3	2
127	и на	6	2
128	языка в	2	2
129	в этой	2	2
130	отношении к	3	2
131	о том	17	2
132	и это	2	2
