N	3gram	Bakhtin_Pr_4	slovoVRo
1	не может быть	8	15
2	в отличие от	3	12
3	с чужим словом	3	10
4	в пределах одного	6	7
5	той или иной	2	5
6	в большинстве случаев	8	5
7	чужого слова в	3	5
8	то же время	5	4
9	чужим словом и	2	4
10	в то же	5	4
11	в том что	2	4
12	в отношении к	2	4
13	по отношению к	5	4
14	в узком смысле	2	4
15	с точки зрения	9	3
16	сама по себе	2	3
17	но в то	2	3
18	чужого слова и	3	3
19	то есть от	2	2
20	как мы сказали	3	2
21	к чужому слову	5	2
22	во всех его	2	2
23	как мы уже	2	2
24	более или менее	3	2
25	до сих пор	8	2
26	и в сущности	2	2
27	сих пор не	2	2
