N	2gram	Ircho_Kome_1	Literetu
1	не только	10	24
2	при этом	5	19
3	в качестве	4	17
4	но и	11	17
5	в том	11	16
6	в частности	3	15
7	том что	12	14
8	может быть	9	13
9	в году	3	13
10	и не	8	12
11	в этом	3	12
12	прежде всего	5	11
13	такого рода	6	10
14	то что	2	10
15	не в	6	8
16	в целом	3	8
17	и в	22	8
18	только в	3	8
19	как это	3	8
20	не менее	3	7
21	в его	5	7
22	в себе	2	7
23	в рамках	2	6
24	как и	9	6
25	и сам	3	6
26	точки зрения	4	6
27	казалось бы	3	5
28	что он	6	5
29	же в	4	5
30	же время	4	5
31	а также	4	5
32	для себя	2	5
33	как в	5	5
34	не может	2	5
35	то же	6	5
36	уже в	5	5
37	в то	10	5
38	отличие от	2	5
39	для этого	2	4
40	столь же	2	4
41	в конце	6	4
42	в силу	2	4
43	но не	2	4
44	еще не	2	4
45	еще в	5	4
46	и тем	2	4
47	все же	3	4
48	из них	10	4
49	со стороны	2	4
50	так и	5	4
51	и его	8	4
52	как раз	3	4
53	в своих	2	4
54	в этой	7	4
55	что в	6	3
56	с другой	5	3
57	одного из	6	3
58	да и	3	3
59	аналогии с	2	3
60	одна из	2	3
61	в самом	2	3
62	несмотря на	4	3
63	не мог	3	3
64	у него	3	3
65	один из	5	3
66	всего в	3	3
67	ли не	4	3
68	в их	4	3
69	при всем	2	3
70	по отношению	3	3
71	а в	6	3
72	таким образом	8	3
73	еще и	2	3
74	в принципе	2	3
75	и даже	5	3
76	потому что	5	3
77	во всяком	2	3
78	но в	4	3
79	по своей	2	3
80	его в	3	3
81	тех же	2	3
82	в области	2	3
83	на этом	2	2
84	для них	2	2
85	все более	3	2
86	однако в	3	2
87	в любом	3	2
88	в себя	2	2
89	к тому	6	2
90	тем не	2	2
91	тому же	6	2
92	из его	4	2
93	в другом	4	2
94	х годов	3	2
95	того же	2	2
96	одной стороны	3	2
97	было бы	2	2
98	по поводу	4	2
99	за пределы	2	2
100	относится к	2	2
101	и самого	2	2
102	всяком случае	2	2
103	даже в	3	2
104	говоря уже	2	2
105	из наиболее	2	2
106	в нем	4	2
107	отношению к	3	2
108	не к	2	2
109	в сущности	2	2
110	не говоря	2	2
111	то и	2	2
112	этой цели	2	2
113	этом отношении	3	2
114	с одной	3	2
115	между тем	5	2
116	нового времени	5	2
117	тем что	4	2
118	одну из	2	2
119	могут быть	3	2
120	на себя	2	2
121	как будто	2	2
122	ту же	2	2
123	как правило	3	2
124	о том	8	2
125	в сознании	3	2
