N	2gram	Bakhtin_Fr_1	Istorich
1	и в	65	26
2	то что	3	16
3	не только	10	15
4	что в	3	14
5	может быть	6	14
6	но и	10	12
7	связь с	5	12
8	и пр	5	11
9	что он	3	10
10	так и	10	10
11	и его	10	10
12	все же	6	9
13	и не	22	9
14	его в	7	9
15	так как	6	9
16	в этих	2	7
17	превращается в	5	7
18	во время	4	7
19	как и	5	7
20	он не	2	7
21	как в	5	7
22	их в	2	7
23	в этом	15	7
24	в дальнейшем	8	6
25	мы видим	2	6
26	еще не	6	6
27	не может	3	6
28	к нему	3	6
29	потому что	5	6
30	могут быть	2	6
31	это не	3	5
32	в одном	5	5
33	но все	3	5
34	но не	2	5
35	ничего не	3	5
36	в его	9	5
37	и у	6	5
38	мы уже	12	5
39	до сих	4	5
40	и др	24	5
41	сих пор	4	5
42	в некоторых	2	5
43	как мы	6	5
44	уже не	3	5
45	и по	2	5
46	не в	4	5
47	и с	3	5
48	и здесь	3	5
49	но в	14	5
50	с другой	3	4
51	вовсе не	18	4
52	в тех	3	4
53	в своей	5	4
54	даже в	3	4
55	же он	2	4
56	не просто	3	4
57	но эта	2	4
58	его на	2	4
59	и даже	8	4
60	о том	2	4
61	представления о	2	3
62	из этих	2	3
63	к себе	2	3
64	на котором	3	3
65	же в	2	3
66	для нас	4	3
67	в том	16	3
68	а затем	2	3
69	том что	6	3
70	и других	3	3
71	его к	2	3
72	но это	3	3
73	во всем	2	3
74	при этом	6	3
75	от своего	2	3
76	и другие	8	3
77	например в	2	3
78	на его	2	3
79	как бы	22	3
80	все эти	10	3
81	и он	2	3
82	наряду с	2	3
83	на него	2	3
84	в свете	2	3
85	между ними	4	3
86	есть только	2	3
87	или в	2	3
88	связан с	3	3
89	связи с	4	3
90	что мы	2	3
91	только в	7	3
92	с миром	3	3
93	связана с	5	2
94	не могут	3	2
95	это уже	4	2
96	никогда не	6	2
97	в своем	8	2
98	формы и	7	2
99	и во	3	2
100	и все	5	2
101	главным образом	6	2
102	его от	2	2
103	есть в	5	2
104	от него	2	2
105	средние века	4	2
106	здесь на	2	2
107	знает и	2	2
108	между прочим	2	2
109	в частности	5	2
110	видеть в	2	2
111	но для	3	2
112	хотя и	2	2
113	по своей	3	2
114	в нем	13	2
115	в целом	2	2
116	не к	2	2
117	в свой	2	2
118	отношение к	4	2
119	из них	4	2
120	от того	2	2
121	в форме	3	2
122	и их	3	2
123	все это	9	2
124	в других	3	2
125	этот вопрос	2	2
126	и вот	2	2
127	мы здесь	2	2
128	того что	2	2
129	земли и	5	2
130	на этот	2	2
131	по его	3	2
132	в таких	2	2
133	и на	11	2
134	сказать что	6	2
135	на некоторых	2	2
136	даже и	3	2
137	в средние	4	2
138	в себе	3	2
139	в этой	4	2
140	в особенности	2	2
141	и этим	2	2
142	в области	7	2
143	так например	2	2
