N	3gram	Losev_Dial_1	KulturaY
1	и т п	2	24
2	и т д	19	14
3	в том что	7	10
4	можно было бы	4	9
5	с точки зрения	12	8
6	с другой стороны	4	7
7	по крайней мере	4	6
8	только потому что	3	6
9	во всяком случае	2	5
10	само по себе	5	5
11	в этом смысле	3	5
12	не может быть	3	4
13	в этом отношении	2	3
14	в то же	4	3
15	то же время	4	3
16	точно так же	2	3
17	в конце концов	3	3
18	можно сказать что	3	2
19	на то что	4	2
20	несмотря на то	2	2
21	по себе не	5	2
22	то или иное	2	2
23	на самом деле	2	2
24	потому что он	3	2
