N	2gram	Nazirov_Tv_1	Istorich
1	и в	21	22
2	в этом	6	17
3	и т	3	16
4	что в	12	15
5	не только	7	14
6	но и	3	12
7	и не	7	12
8	может быть	5	11
9	в этих	2	11
10	или в	2	11
11	таким образом	5	10
12	но в	7	10
13	что он	6	9
14	в нем	3	9
15	что и	2	9
16	вместе с	2	9
17	в том	7	9
18	том что	11	8
19	с другой	3	7
20	к этому	2	7
21	но не	3	7
22	то что	8	7
23	из них	2	7
24	уже не	3	7
25	так как	3	7
26	это не	4	6
27	а в	6	6
28	то же	13	6
29	а не	5	6
30	не менее	6	5
31	в частности	2	5
32	тем не	2	5
33	живет в	2	5
34	так что	2	5
35	один из	4	5
36	все же	5	5
37	что она	2	5
38	он не	8	5
39	здесь мы	2	5
40	того что	3	5
41	могут быть	2	5
42	в этой	5	5
43	и другие	3	4
44	на смену	2	4
45	не в	2	4
46	в дальнейшем	3	4
47	только в	5	4
48	в свою	7	4
49	одним из	4	4
50	к ней	2	4
51	и его	6	4
52	и на	7	4
53	в данном	2	4
54	не может	4	4
55	но он	2	4
56	что ты	2	4
57	и с	3	4
58	я не	3	3
59	в одной	2	3
60	и от	4	3
61	и все	6	3
62	представление о	3	3
63	прежде всего	4	3
64	к тому	2	3
65	а затем	2	3
66	как и	12	3
67	и как	4	3
68	но это	5	3
69	представляет собой	3	3
70	он видит	3	3
71	у него	7	3
72	на его	3	3
73	в его	13	3
74	никогда не	3	3
75	в целом	4	3
76	ее в	3	3
77	данном случае	2	3
78	на том	2	3
79	и у	2	3
80	так же	3	3
81	сказать что	2	3
82	потому что	5	3
83	далеко не	3	3
84	в русской	5	3
85	о том	6	3
86	при помощи	2	3
87	в чем	2	3
88	точно так	2	2
89	в жизни	2	2
90	вовсе не	5	2
91	можно сказать	2	2
92	такой же	2	2
93	одна из	2	2
94	как в	8	2
95	при этом	7	2
96	в качестве	2	2
97	одного из	2	2
98	не мог	2	2
99	хотя и	3	2
100	в ней	2	2
101	свое лицо	2	2
102	и он	2	2
103	в котором	6	2
104	даже в	3	2
105	к жизни	2	2
106	жизни и	3	2
107	связан с	3	2
108	герой в	2	2
109	но она	2	2
110	так и	2	2
111	не имеют	4	2
112	только на	2	2
113	в своем	4	2
114	той же	3	2
115	еще более	2	2
116	на самом	3	2
117	там же	3	2
118	что не	2	2
119	и даже	3	2
120	вот почему	3	2
121	в виде	3	2
122	известно что	2	2
123	в то	15	2
124	ту же	3	2
125	как будто	5	2
126	в него	2	2
