N	2gram	Tiupa_Disk_1	Dialekti
1	не есть	2	47
2	и не	11	30
3	может быть	17	20
4	и в	16	19
5	не только	28	19
6	по себе	3	18
7	а не	22	16
8	в себе	7	15
9	то что	5	14
10	и даже	3	14
11	в том	23	14
12	как бы	5	14
13	потому что	4	14
14	но и	14	12
15	то же	7	12
16	точки зрения	3	12
17	и все	2	12
18	как и	16	10
19	и как	6	10
20	в нем	9	10
21	так и	8	10
22	том что	19	10
23	это не	3	10
24	сказать что	3	10
25	времени и	3	9
26	никогда не	2	9
27	по крайней	2	9
28	крайней мере	2	9
29	не может	9	9
30	прежде всего	11	8
31	не в	7	8
32	в этом	15	8
33	в своей	5	8
34	и к	4	7
35	что в	4	7
36	что он	4	6
37	что не	4	6
38	отнюдь не	8	6
39	в то	3	6
40	но не	11	6
41	того что	3	6
42	и вообще	2	6
43	не обязательно	4	5
44	с другой	10	5
45	же время	4	5
46	в силу	5	5
47	по своему	3	5
48	можно сказать	5	5
49	в самом	3	5
50	и потому	3	5
51	что и	3	5
52	и что	2	5
53	и его	2	5
54	но как	2	5
55	только в	7	5
56	о том	8	5
57	в виду	2	5
58	во мне	3	4
59	уже в	2	4
60	и есть	2	4
61	в своем	6	4
62	в одном	2	4
63	в ее	3	4
64	все же	3	4
65	при этом	13	4
66	еще не	14	4
67	за пределы	2	4
68	той или	3	4
69	хотя бы	3	4
70	связи с	4	4
71	другой стороны	3	4
72	таким образом	3	4
73	заключается в	3	4
74	и по	2	4
75	а в	5	4
76	в одной	3	4
77	могут быть	4	4
78	в другом	2	4
79	по своей	11	4
80	не менее	2	3
81	о чем	2	3
82	об этом	2	3
83	как мы	2	3
84	уже не	4	3
85	в этой	2	3
86	общения с	3	3
87	себе не	3	3
88	сами по	2	3
89	из них	3	3
90	с этим	3	3
91	не было	7	3
92	мы имеем	2	3
93	становления и	2	3
94	должны быть	3	3
95	бы это	2	3
96	в данном	5	3
97	они не	2	3
98	о котором	2	3
99	будто бы	2	3
100	это было	2	3
101	что же	2	2
102	в противоположность	2	2
103	зависит от	2	2
104	в частности	9	2
105	в какой	2	2
106	перед нами	3	2
107	именно в	3	2
108	в тех	2	2
109	к тому	5	2
110	однако это	2	2
111	в истории	4	2
112	или менее	2	2
113	он всегда	2	2
114	что с	2	2
115	различия между	3	2
116	своей природе	2	2
117	на его	4	2
118	в сущности	2	2
119	на сцене	2	2
120	он мог	3	2
121	говоря уже	2	2
122	себя в	2	2
123	как не	3	2
124	во всех	5	2
125	не говоря	2	2
126	дело не	2	2
127	данном случае	2	2
128	в каждом	2	2
129	силу своей	2	2
130	в их	5	2
131	может и	2	2
132	например в	2	2
133	с ее	2	2
134	по этой	2	2
135	с одной	9	2
136	как в	10	2
137	хотя в	2	2
138	более или	2	2
139	в науке	2	2
140	времени в	2	2
141	или в	2	2
142	в сферу	3	2
143	в своих	3	2
144	также и	3	2
145	в акте	3	2
146	между тем	4	2
147	не как	4	2
148	тем что	3	2
149	или на	3	2
150	же самое	2	2
151	того или	2	2
152	во всяком	2	2
153	есть в	2	2
154	уже о	2	2
155	но в	8	2
156	на этом	2	2
