N	2gram	Tiupa_Vved_1	Myslijsy
1	потому что	5	52
2	то есть	8	42
3	и в	13	39
4	может быть	18	27
5	в том	10	26
6	только в	6	25
7	что в	3	22
8	не может	7	22
9	а не	15	21
10	не только	20	21
11	в нем	5	20
12	но и	19	20
13	и не	12	18
14	том что	7	16
15	не в	6	15
16	в этом	21	15
17	если бы	7	14
18	отношению к	7	13
19	так и	8	13
20	по отношению	7	13
21	в себе	5	13
22	таким образом	4	13
23	было бы	4	12
24	мы не	4	10
25	по себе	2	10
26	то что	6	10
27	как в	4	10
28	могут быть	4	9
29	для нас	2	9
30	как и	11	9
31	и понимания	2	9
32	тем что	2	9
33	но в	6	9
34	но не	5	8
35	со стороны	5	8
36	того что	6	8
37	в слове	3	8
38	с другой	5	7
39	язык как	2	7
40	в ней	4	7
41	это не	6	7
42	то и	2	7
43	в этих	3	7
44	не менее	4	6
45	тем не	3	6
46	еще не	7	6
47	что на	2	6
48	как бы	4	6
49	что и	2	6
50	все же	6	6
51	бы не	2	6
52	то же	5	6
53	при этом	26	6
54	и по	3	6
55	зависит от	2	5
56	но это	3	5
57	в его	4	5
58	в первом	2	5
59	другой стороны	2	5
60	во всех	2	5
61	а в	6	5
62	и для	3	5
63	во втором	2	5
64	не имеет	2	5
65	и его	5	5
66	не следует	3	5
67	быть только	2	5
68	никогда не	4	4
69	однако в	4	4
70	тем самым	5	4
71	прежде всего	7	4
72	в свою	4	4
73	мы видели	2	4
74	свою очередь	4	4
75	же время	3	4
76	для него	3	4
77	к тому	6	4
78	в своих	2	4
79	не было	2	4
80	быть не	4	4
81	тому как	2	4
82	из этих	3	4
83	в то	4	4
84	что мы	2	4
85	бы в	3	4
86	в них	2	3
87	а его	2	3
88	и от	2	3
89	не могло	2	3
90	в жизни	4	3
91	представить себе	2	3
92	о котором	2	3
93	когда в	2	3
94	в своем	5	3
95	одной стороны	5	3
96	по поводу	2	3
97	в своей	5	3
98	и тем	2	3
99	в мире	8	3
100	в самом	2	3
101	на него	2	3
102	с одной	5	3
103	но при	5	3
104	с ним	3	3
105	должна быть	2	3
106	хотя и	7	3
107	он не	3	3
108	подобно тому	2	3
109	в сознании	4	3
110	могло бы	3	3
111	и все	4	3
112	к которому	2	3
113	том как	3	3
114	и с	2	3
115	слова в	2	2
116	не существует	2	2
117	могла бы	3	2
118	но на	2	2
119	и более	3	2
120	все они	2	2
121	одного из	3	2
122	сознания в	3	2
123	не можем	2	2
124	слова но	2	2
125	как мы	3	2
126	жизни и	7	2
127	уже не	5	2
128	все что	3	2
129	для них	3	2
130	имеет место	4	2
131	одним из	5	2
132	никак не	2	2
133	его с	2	2
134	не все	2	2
135	в целом	3	2
136	что же	3	2
137	тогда как	10	2
138	времени и	7	2
139	и того	2	2
140	к ним	2	2
141	то он	2	2
142	в начале	3	2
143	как будто	4	2
144	о том	5	2
145	есть в	2	2
146	так сказать	2	2
147	стало быть	7	2
148	мы можем	2	2
