N	2gram	Vinokur_St_1	Freidism
1	таким образом	7	24
2	и не	16	23
3	не может	8	20
4	точки зрения	11	19
5	прежде всего	7	18
6	в этом	21	15
7	в его	9	15
8	может быть	15	13
9	и его	8	12
10	как и	9	11
11	как бы	4	11
12	то что	18	11
13	все эти	5	11
14	с точки	8	11
15	и потому	2	10
16	так и	9	10
17	самом деле	11	10
18	его в	2	10
19	но в	10	10
20	и в	44	9
21	во всех	8	9
22	по отношению	3	9
23	что он	10	8
24	отношению к	3	8
25	еще не	3	8
26	в своей	6	8
27	он не	2	8
28	не только	18	8
29	все это	5	8
30	то же	5	8
31	только в	10	8
32	и все	2	8
33	так как	5	8
34	ни в	3	7
35	к нему	2	7
36	во всяком	6	7
37	отношение к	2	7
38	в самом	7	7
39	что же	6	7
40	сказать что	7	7
41	всяком случае	6	7
42	никогда не	5	6
43	точку зрения	3	6
44	вовсе не	19	6
45	для него	6	6
46	за пределы	2	6
47	того что	9	6
48	в ней	3	6
49	совершенно не	5	6
50	хотя бы	6	6
51	и с	3	6
52	не в	12	5
53	в этой	11	5
54	в чем	3	5
55	для этого	2	5
56	в то	9	5
57	его жизни	3	5
58	что в	30	5
59	но и	10	5
60	по мнению	3	5
61	на самом	6	5
62	для того	10	5
63	а в	17	5
64	могут быть	5	5
65	с этим	3	5
66	в каком	3	5
67	не менее	5	4
68	но не	3	4
69	я не	7	4
70	в котором	5	4
71	в этих	2	4
72	из этих	6	4
73	об этом	3	4
74	всех этих	2	4
75	же время	4	4
76	связанные с	3	4
77	при этом	2	4
78	конечно не	2	4
79	как раз	4	4
80	в основе	3	4
81	в нем	5	4
82	все же	8	4
83	и за	3	4
84	данном случае	6	4
85	не было	4	4
86	мы находим	4	4
87	того чтобы	11	4
88	и для	3	4
89	совсем не	2	4
90	в которой	4	4
91	той же	5	4
92	мы не	2	4
93	в таком	3	4
94	в данном	14	4
95	этот вопрос	4	4
96	потому что	6	4
97	во время	3	4
98	говорить о	2	4
99	нисколько не	2	3
100	о которой	3	3
101	если бы	9	3
102	тому что	3	3
103	во втором	4	3
104	что все	2	3
105	в себе	2	3
106	он был	3	3
107	но это	6	3
108	со всеми	2	3
109	случае не	2	3
110	по поводу	7	3
111	она не	2	3
112	было бы	17	3
113	ни на	2	3
114	из которого	2	3
115	жизни и	5	3
116	на него	2	3
117	со стороны	6	3
118	и те	2	3
119	не знает	2	3
120	как в	13	3
121	этой области	5	3
122	и что	4	3
123	на этот	3	3
124	и по	5	3
125	мы имеем	2	3
126	такой же	5	3
127	у него	2	3
128	ничего общего	3	3
129	но ведь	8	3
130	не является	3	3
131	в сознании	2	3
132	этих двух	3	2
133	в отношении	9	2
134	уже в	2	2
135	или иное	3	2
136	но все	4	2
137	что это	4	2
138	и об	7	2
139	быть и	2	2
140	для себя	3	2
141	в какой	3	2
142	того же	3	2
143	с другой	9	2
144	с которыми	2	2
145	это не	8	2
146	в конце	3	2
147	стремление к	3	2
148	в такой	2	2
149	и уже	2	2
150	большое значение	2	2
151	тем не	2	2
152	для нас	7	2
153	в ее	4	2
154	да и	3	2
155	это и	4	2
156	том что	29	2
157	не существует	3	2
158	а не	16	2
159	что с	2	2
160	одной стороны	2	2
161	из них	8	2
162	же касается	3	2
163	что мы	5	2
164	но для	2	2
165	но если	4	2
166	в своем	2	2
167	ответ на	3	2
168	в свой	2	2
169	во второй	9	2
170	дело не	4	2
171	сих пор	7	2
172	что она	4	2
173	также в	2	2
174	это вовсе	2	2
175	отношения к	2	2
176	что как	2	2
177	а с	3	2
178	этом отношении	7	2
179	с одной	3	2
180	что оно	3	2
181	а потому	2	2
182	из того	2	2
183	это прежде	2	2
184	должны быть	3	2
185	и у	2	2
186	тем же	3	2
187	и даже	5	2
188	так же	5	2
189	на которой	2	2
190	и то	5	2
191	их в	2	2
192	случае в	4	2
193	то или	3	2
194	от этого	2	2
195	в своих	2	2
196	что и	6	2
197	в другом	3	2
198	и вообще	3	2
199	при помощи	2	2
200	в первом	2	2
201	до сих	7	2
202	только с	2	2
203	как это	4	2
204	в области	14	2
