N	2gram	Berdyaev_V_1	EvropaiE
1	и в	16	37
2	что в	3	21
3	не только	2	18
4	хотя бы	3	15
5	но и	5	14
6	и не	20	14
7	но в	3	14
8	в этом	4	12
9	в том	3	11
10	так и	4	10
11	прежде всего	2	9
12	только в	2	9
13	к тому	3	8
14	в своей	3	8
15	между тем	2	8
16	как и	4	7
17	того что	5	7
18	так как	9	7
19	том что	2	6
20	вслед за	2	6
21	как бы	5	6
22	то что	9	6
23	во всех	3	6
24	того чтобы	2	6
25	не в	3	5
26	но не	2	5
27	от этого	3	5
28	и потому	7	5
29	в ней	4	4
30	для нас	2	4
31	мы не	2	4
32	не имеет	3	4
33	мира в	2	4
34	с тем	2	3
35	никогда не	3	3
36	в них	3	3
37	на себя	5	3
38	в прошлом	2	3
39	и мы	3	3
40	что и	3	3
41	не будет	2	3
42	ее в	2	3
43	бы и	3	3
44	и для	3	3
45	можно было	2	3
46	потому что	4	3
47	во всяком	2	3
48	тем что	2	3
49	что все	4	2
50	не могут	2	2
51	для них	2	2
52	а не	7	2
53	в этих	3	2
54	и во	2	2
55	и все	4	2
56	и теперь	2	2
57	в существе	2	2
58	должна быть	3	2
59	не к	2	2
60	в его	4	2
61	в котором	4	2
62	не есть	6	2
63	в мире	5	2
64	жизни и	3	2
65	как не	3	2
66	всего в	2	2
67	а в	2	2
68	и что	3	2
69	более чем	2	2
70	хотя и	5	2
71	могут быть	2	2
72	и то	2	2
73	в истории	8	2
