N	2gram	Berdyaev_N_1	KFilosof
1	может быть	7	43
2	в нем	5	31
3	не может	16	27
4	и не	11	26
5	и в	16	22
6	в себе	2	21
7	не есть	3	19
8	в ее	3	17
9	а не	17	17
10	в этом	7	13
11	ни в	6	12
12	но не	2	12
13	и это	2	12
14	все эти	2	11
15	в своей	3	11
16	не в	6	11
17	это не	4	10
18	все это	5	10
19	во всех	3	10
20	и есть	10	9
21	но и	3	9
22	и все	4	9
23	и для	4	9
24	не было	4	8
25	лишь в	6	8
26	жизни и	8	8
27	конечно не	3	7
28	должен быть	5	7
29	то что	4	7
30	себя в	2	7
31	я не	2	6
32	в смысле	2	6
33	в том	8	6
34	но это	6	6
35	в мире	3	6
36	он не	8	6
37	не значит	3	6
38	уже не	2	6
39	никогда не	6	5
40	хотя бы	2	5
41	не имеет	4	5
42	должно быть	4	5
43	в основе	3	5
44	но в	2	5
45	не знает	6	5
46	жизни в	3	5
47	как и	7	5
48	есть лишь	4	5
49	не только	5	5
50	бытия в	2	5
51	жизни как	2	5
52	времени и	2	4
53	место в	2	4
54	что в	9	4
55	к ним	3	4
56	в категориях	2	4
57	мира и	2	4
58	быть в	2	4
59	том что	2	4
60	а в	2	4
61	познания и	2	4
62	и весь	2	3
63	должна быть	3	3
64	не менее	4	3
65	в час	4	3
66	и пр	3	3
67	и на	2	3
68	в ней	5	3
69	в то	2	3
70	о том	4	3
71	мы не	2	3
72	этом смысле	2	3
73	по своему	4	3
74	еще не	3	3
75	нет и	2	3
76	культуры и	7	3
77	могут быть	2	3
78	я уже	2	2
79	прежде всего	4	2
80	вопрос о	3	2
81	это есть	7	2
82	совсем не	12	2
83	и мы	4	2
84	но для	2	2
85	для этого	2	2
86	потому что	4	2
87	ни к	2	2
88	с его	6	2
89	с тем	3	2
90	в жизни	5	2
91	думать что	2	2
92	не будет	7	2
93	ли это	2	2
94	к содержанию	2	2
95	ни одна	2	2
96	и потому	4	2
97	так и	2	2
98	как в	3	2
99	это и	2	2
100	того чтобы	2	2
101	этот мир	2	2
102	но я	2	2
