N	2gram	Savitsky_E_1	Problemy
1	и не	14	31
2	и в	37	29
3	в его	2	24
4	может быть	6	24
5	а не	2	22
6	в этом	12	22
7	т е	9	21
8	как бы	6	19
9	точки зрения	23	19
10	не только	18	15
11	то что	6	15
12	но и	14	14
13	то же	15	14
14	в пределах	25	13
15	с точки	17	13
16	как и	7	12
17	точка зрения	2	12
18	не может	9	12
19	таким образом	2	12
20	в одном	2	10
21	этом смысле	3	10
22	в самом	4	10
23	в то	16	10
24	только в	9	10
25	там где	3	10
26	но не	5	9
27	же время	14	9
28	если бы	2	9
29	в своем	14	8
30	по себе	4	8
31	что в	21	8
32	как не	2	8
33	в своей	8	8
34	потому что	3	8
35	в том	11	8
36	прежде всего	9	7
37	вовсе не	6	7
38	том что	6	7
39	не в	5	7
40	она не	2	7
41	так и	10	7
42	и как	2	7
43	а в	2	7
44	с другими	2	7
45	и на	6	7
46	в себе	9	7
47	мира и	3	7
48	но в	14	7
49	не могут	2	6
50	несмотря на	4	6
51	к нему	2	6
52	как в	3	6
53	в мире	2	6
54	так же	9	6
55	могут быть	2	6
56	и потому	5	6
57	так как	7	6
58	должна быть	2	5
59	именно в	4	5
60	было бы	8	5
61	дело идет	2	5
62	он не	2	5
63	во всяком	3	5
64	между тем	8	5
65	мира в	4	5
66	в результате	3	4
67	идет о	3	4
68	бы и	3	4
69	что и	3	4
70	и с	2	4
71	даже в	4	4
72	в процессе	4	4
73	не на	4	4
74	и для	3	4
75	тем что	3	4
76	как же	2	4
77	как мы	5	4
78	и наконец	2	4
79	в этой	2	4
80	что же	2	4
81	он сам	2	3
82	в другой	2	3
83	никогда не	3	3
84	в них	3	3
85	с другой	7	3
86	в пределы	3	3
87	как их	2	3
88	не дает	3	3
89	но именно	2	3
90	всяком случае	3	3
91	в их	11	3
92	другой стороны	2	3
93	как на	3	3
94	этом отношении	3	3
95	не из	3	3
96	в своих	2	3
97	сказать что	4	3
98	но с	2	3
99	само по	4	3
100	но как	2	3
101	как будто	2	3
102	мы должны	2	3
103	отношении к	15	3
104	далеко не	2	3
105	бы в	2	3
106	уже и	3	2
107	подходит к	2	2
108	культурной традиции	2	2
109	то ни	4	2
110	хотя бы	15	2
111	не служит	4	2
112	с этой	6	2
113	и во	2	2
114	и от	3	2
115	мира не	2	2
116	именно потому	2	2
117	вопрос о	4	2
118	для понимания	2	2
119	и к	3	2
120	не есть	2	2
121	жизни и	2	2
122	же в	2	2
123	мы видим	2	2
124	от них	3	2
125	чем в	4	2
126	бы то	4	2
127	на себя	3	2
128	кажется что	2	2
129	друг с	3	2
130	в котором	2	2
131	какой бы	2	2
132	и со	3	2
133	в большинстве	2	2
134	нам кажется	7	2
135	мира но	2	2
136	данном случае	2	2
137	ни было	4	2
138	по своим	3	2
139	во всей	2	2
140	в отношении	32	2
141	и даже	6	2
142	в той	5	2
143	в смысле	9	2
144	и что	2	2
145	на этот	2	2
146	между ними	2	2
147	можно было	3	2
148	в данном	3	2
149	этот вопрос	2	2
150	в которых	3	2
151	в ней	4	2
152	в истории	2	2
153	во все	3	2
154	его на	2	2
155	в россии	5	2
156	большинстве случаев	3	2
157	заметить что	2	2
158	с этим	2	2
159	по преимуществу	2	2
