N	2gram	Tiupa_Anal_2	RusskieA
1	и в	16	36
2	не только	16	22
3	что в	2	19
4	том что	12	19
5	в том	12	17
6	т е	2	17
7	но и	12	16
8	и м	2	14
9	в этом	18	12
10	как мы	3	10
11	как и	14	10
12	вместе с	2	10
13	и на	6	10
14	а в	3	9
15	состоит в	8	8
16	из них	3	8
17	может быть	6	8
18	один из	2	8
19	о том	7	8
20	как это	6	8
21	что и	3	7
22	так и	15	7
23	между тем	2	7
24	представляют собой	2	7
25	и не	12	6
26	так например	2	6
27	при этом	10	6
28	уже не	4	6
29	таким образом	2	6
30	все это	4	6
31	не имеет	2	6
32	то что	7	6
33	этом случае	4	5
34	как будто	3	5
35	как бы	10	5
36	с ними	3	5
37	одно из	2	5
38	как в	4	5
39	к этому	2	4
40	как уже	3	4
41	к тому	7	4
42	что на	3	4
43	по существу	2	4
44	представляет собой	8	4
45	еще не	2	4
46	еще в	2	4
47	во всех	4	4
48	и их	2	4
49	в их	3	4
50	не может	4	4
51	мы имеем	3	4
52	того что	2	4
53	тем что	3	4
54	только в	4	4
55	не менее	4	3
56	о чем	2	3
57	в этих	2	3
58	в качестве	11	3
59	в своем	4	3
60	он же	2	3
61	в одном	2	3
62	в поле	4	3
63	и к	5	3
64	тем не	3	3
65	на этом	4	3
66	несмотря на	3	3
67	только на	3	3
68	как правило	4	3
69	а также	7	3
70	не с	4	3
71	своего рода	12	3
72	приводит к	3	3
73	то же	4	3
74	с точки	2	3
75	на этот	2	3
76	так же	2	3
77	ничего не	9	3
78	точки зрения	4	3
79	то есть	9	3
80	этого слова	3	3
81	борьбы с	3	2
82	в частности	16	2
83	могут быть	10	2
84	в нашем	3	2
85	у него	4	2
86	его от	3	2
87	он был	2	2
88	так что	3	2
89	но не	4	2
90	она не	2	2
91	отнюдь не	8	2
92	имеет место	4	2
93	в его	2	2
94	нас к	2	2
95	на этой	2	2
96	в целом	8	2
97	его как	2	2
98	и до	2	2
99	что она	2	2
100	тогда как	19	2
101	однако как	2	2
102	а не	10	2
103	и для	2	2
104	в окно	2	2
105	и другими	2	2
106	с ним	2	2
107	или в	3	2
108	не случайно	8	2
109	хотя и	4	2
110	между двумя	4	2
111	должна была	2	2
112	на себя	5	2
113	но в	6	2
114	в один	4	2
115	же не	2	2
