N	2gram	Vygotskiy__1	StatiiOP
1	и в	31	25
2	в этом	12	24
3	у пушкина	3	22
4	в том	30	20
5	что в	23	19
6	что он	7	19
7	может быть	22	19
8	что это	6	16
9	том что	16	15
10	в этой	3	14
11	в его	6	12
12	то что	32	12
13	не только	13	12
14	в этих	4	11
15	так что	5	11
16	прежде всего	4	10
17	таким образом	20	10
18	и не	16	10
19	у него	4	9
20	но и	2	9
21	и т	26	8
22	все это	8	8
23	как например	2	8
24	т е	3	8
25	в своих	4	8
26	о том	7	8
27	было бы	6	7
28	с этим	3	7
29	не может	17	7
30	что такое	2	7
31	точки зрения	15	7
32	из его	3	7
33	в то	5	7
34	из этих	6	6
35	в конце	3	6
36	не в	11	6
37	только в	14	6
38	как бы	5	6
39	как в	9	6
40	как на	3	6
41	а в	6	6
42	т п	16	6
43	в области	11	6
44	между тем	4	6
45	то же	5	5
46	у шекспира	2	5
47	независимо от	2	5
48	в них	2	5
49	потому что	10	5
50	с другой	5	5
51	на то	10	5
52	ни в	9	5
53	говорит что	5	5
54	в котором	4	5
55	на почве	2	5
56	и это	3	5
57	а не	13	5
58	того что	10	5
59	другой стороны	5	5
60	он не	3	5
61	отметить что	2	5
62	так и	3	5
63	мы имеем	4	5
64	но в	3	5
65	этом отношении	2	4
66	с тем	3	4
67	всяком случае	6	4
68	состоит в	3	4
69	точка зрения	4	4
70	в жизни	2	4
71	в каждом	3	4
72	этом смысле	2	4
73	это в	2	4
74	у нас	4	4
75	как и	16	4
76	мы видим	5	4
77	это есть	5	4
78	но это	3	4
79	должна была	2	4
80	что здесь	2	4
81	в качестве	2	4
82	если бы	6	4
83	например в	3	4
84	и к	3	4
85	и тем	2	4
86	в своей	3	4
87	в целом	5	4
88	отношение к	2	4
89	из этого	2	4
90	отличается от	2	4
91	не было	3	4
92	из которых	3	4
93	с точки	2	4
94	в чем	2	4
95	к нему	2	4
96	и для	5	4
97	и с	2	4
98	время как	5	4
99	сказать что	7	4
100	во всяком	8	4
101	в каком	2	4
102	все же	5	4
103	в которой	4	4
104	что эти	3	4
105	то время	5	4
106	ничего не	2	4
107	на вопрос	2	3
108	что все	3	3
109	уже в	3	3
110	вот что	2	3
111	тому что	4	3
112	в какой	5	3
113	к этому	4	3
114	показывает что	5	3
115	и здесь	2	3
116	с этой	4	3
117	что я	4	3
118	и что	8	3
119	до конца	6	3
120	одной стороны	6	3
121	и если	4	3
122	xviii в	2	3
123	несмотря на	5	3
124	конце концов	3	3
125	на эти	2	3
126	не является	5	3
127	со стороны	4	3
128	по этому	2	3
129	как раз	2	3
130	в связи	2	3
131	по мнению	2	3
132	уже не	2	3
133	что мы	8	3
134	и его	7	3
135	что для	2	3
136	так как	18	3
137	что по	3	3
138	все время	4	2
139	при помощи	20	2
140	не менее	2	2
141	случае в	3	2
142	никогда не	8	2
143	себя и	2	2
144	по тому	3	2
145	точку зрения	3	2
146	и у	4	2
147	что у	3	2
148	и во	2	2
149	в одной	3	2
150	на долю	2	2
151	в поэзии	2	2
152	тогда когда	5	2
153	этих двух	2	2
154	вовсе не	6	2
155	в такой	2	2
156	утверждать что	5	2
157	к тому	4	2
158	как мы	2	2
159	им в	3	2
160	без всякого	2	2
161	х годов	5	2
162	такой же	2	2
163	что они	2	2
164	есть в	7	2
165	но не	3	2
166	того же	2	2
167	формы в	4	2
168	до сих	3	2
169	только тогда	7	2
170	и может	2	2
171	в самом	11	2
172	в сущности	10	2
173	одна из	4	2
174	том чтобы	7	2
175	в виду	4	2
176	речь идет	3	2
177	гораздо более	2	2
178	один из	4	2
179	тем не	2	2
180	я думаю	2	2
181	вместе с	8	2
182	сих пор	3	2
183	и тогда	2	2
184	только что	2	2
185	этому поводу	2	2
186	и только	3	2
187	т д	8	2
188	с одной	5	2
189	и других	3	2
190	от того	3	2
191	а потому	3	2
192	этой области	2	2
193	заключается в	7	2
194	самом деле	9	2
195	для того	6	2
196	и по	3	2
197	его не	2	2
198	той же	3	2
199	мы не	12	2
200	на основе	2	2
201	в которых	3	2
202	в результате	4	2
203	то и	2	2
204	одно из	2	2
205	могут быть	11	2
206	но как	2	2
207	в русском	2	2
208	на это	2	2
209	этого слова	4	2
210	стал бы	2	2
211	что эта	3	2
212	и тот	2	2
213	к этой	2	2
214	то есть	26	2
