N	2gram	Medvedev_U_1	VeschiIm
1	не есть	2	49
2	не может	7	33
3	не только	10	31
4	может быть	6	29
5	и не	8	28
6	и в	14	26
7	то что	7	24
8	а не	10	20
9	что она	2	14
10	только в	2	14
11	по себе	2	13
12	было бы	3	12
13	но и	4	12
14	все же	3	12
15	и то	3	12
16	таким образом	2	11
17	то же	5	10
18	что мы	2	10
19	что такое	4	10
20	в том	2	9
21	в самом	2	9
22	бы то	3	9
23	и с	2	9
24	ни было	3	9
25	прежде всего	8	9
26	то ни	3	9
27	но это	2	8
28	в себе	2	8
29	ничего не	2	8
30	в то	3	7
31	том что	2	7
32	как раз	2	7
33	в этом	7	7
34	для него	3	6
35	и только	5	6
36	но в	3	6
37	по крайней	2	6
38	крайней мере	2	6
39	бы и	2	6
40	должна быть	2	5
41	это не	3	5
42	не в	2	5
43	для этого	3	5
44	если бы	2	5
45	у нас	3	5
46	но не	2	5
47	и для	2	5
48	ни от	2	5
49	с другой	4	4
50	же время	3	4
51	в их	4	4
52	как и	3	4
53	что и	2	4
54	мы не	2	4
55	тем что	2	4
56	же не	2	4
57	но даже	2	3
58	все это	5	3
59	перестает быть	5	3
60	даже и	2	3
61	что он	2	3
62	в своей	3	3
63	самом деле	2	3
64	хотя бы	5	3
65	вопроса о	2	3
66	это уже	2	2
67	в частности	3	2
68	его и	2	2
69	тех или	2	2
70	является в	2	2
71	о чем	2	2
72	превращается в	2	2
73	только к	3	2
74	если не	2	2
75	не случайно	2	2
76	не все	2	2
77	это было	2	2
