N	2gram	Tiupa_Anal_1	Otkroven
1	и в	18	19
2	но и	17	13
3	и не	21	13
4	в этом	13	12
5	а не	17	11
6	не в	14	11
7	может быть	29	11
8	не только	15	11
9	и все	3	10
10	вопрос о	2	10
11	в нем	3	10
12	никогда не	2	9
13	потому что	2	9
14	прежде всего	6	9
15	ни с	3	7
16	лишь в	5	7
17	нет ничего	2	7
18	он не	3	7
19	в его	13	7
20	как и	13	6
21	то что	6	5
22	а в	9	5
23	отношение к	2	5
24	в том	27	5
25	для него	2	5
26	в этой	5	5
27	в самом	6	5
28	с его	3	4
29	того чтобы	3	4
30	что не	3	4
31	и его	5	4
32	все эти	2	4
33	не может	22	4
34	что в	5	4
35	к нему	3	3
36	не могут	3	3
37	и есть	3	3
38	это не	6	3
39	что он	3	3
40	того что	4	3
41	для того	4	3
42	хотя бы	3	3
43	быть может	2	3
44	еще не	3	3
45	могут быть	4	3
46	в себе	11	3
47	было бы	2	3
48	никто не	3	3
49	о том	5	3
50	с ним	4	3
51	как бы	5	3
52	все же	4	2
53	что и	3	2
54	не есть	8	2
55	так и	4	2
56	что же	2	2
57	как к	2	2
58	не все	2	2
59	по себе	4	2
60	и к	3	2
61	должно быть	2	2
62	в которой	2	2
63	том что	12	2
64	в другом	4	2
65	ничто не	2	2
66	и на	5	2
67	и то	2	2
68	и с	2	2
69	человека к	4	2
70	мысль о	2	2
71	в своей	6	2
72	так как	2	2
73	и о	2	2
74	но в	8	2
75	и потому	2	2
