N	2gram	Propp_Isto_2	KulturaY
1	и т	19	54
2	т е	29	32
3	и в	15	23
4	в том	6	22
5	не только	18	17
6	было бы	5	16
7	в этом	11	16
8	может быть	17	14
9	самом деле	2	14
10	что в	12	13
11	потому что	9	12
12	вопрос о	4	11
13	том что	7	11
14	а не	5	11
15	того что	3	11
16	в его	6	11
17	того чтобы	2	11
18	можно было	5	11
19	и не	11	10
20	прежде всего	5	9
21	еще не	9	9
22	хотя бы	2	9
23	таким образом	7	9
24	так как	14	9
25	до сих	6	8
26	между прочим	3	8
27	сих пор	7	8
28	т д	18	8
29	в виду	2	8
30	с другой	2	7
31	и что	6	7
32	сказать что	2	7
33	все эти	4	7
34	как это	3	7
35	того как	4	7
36	с тем	9	6
37	что и	6	6
38	что он	24	6
39	в силу	2	6
40	после того	3	6
41	при этом	4	6
42	так и	5	6
43	в их	3	6
44	не может	5	6
45	то же	10	6
46	могут быть	2	6
47	связи с	8	6
48	только в	6	6
49	о том	3	6
50	ничего не	7	6
51	я не	2	5
52	и есть	5	5
53	как и	2	5
54	не в	7	5
55	здесь можно	5	5
56	что она	5	5
57	как бы	6	5
58	все же	9	5
59	не будем	4	5
60	в связи	5	5
61	а в	12	5
62	но это	4	5
63	тем что	4	5
64	из этих	3	5
65	слова в	2	4
66	же мы	2	4
67	один из	8	4
68	а также	2	4
69	этом случае	5	4
70	для нас	4	4
71	одной стороны	3	4
72	в сущности	2	4
73	то что	12	4
74	как в	5	4
75	в нашей	2	4
76	не было	2	4
77	с одной	4	4
78	тем самым	2	4
79	не столько	2	4
80	на вопрос	2	3
81	уже в	2	3
82	и более	2	3
83	что это	6	3
84	то мы	2	3
85	это не	2	3
86	на самом	2	3
87	именно в	2	3
88	к тому	5	3
89	ни в	2	3
90	по существу	2	3
91	мы видели	2	3
92	но не	2	3
93	он не	8	3
94	но если	3	3
95	был бы	2	3
96	то это	6	3
97	и именно	2	3
98	но и	14	3
99	на него	5	3
100	а именно	3	3
101	по отношению	3	3
102	только после	4	3
103	другой стороны	2	3
104	тому же	2	3
105	а с	2	3
106	мы не	3	3
107	они не	4	3
108	в ней	4	3
109	и пр	7	3
110	и с	4	3
111	той же	2	3
112	в которых	2	3
113	и только	2	3
114	она не	5	3
115	мы должны	4	3
116	когда мы	2	3
117	так сказать	2	2
118	такой же	2	2
119	все это	3	2
120	но все	5	2
121	смысле этого	2	2
122	дано в	2	2
123	в одном	5	2
124	главным образом	2	2
125	в тех	2	2
126	и здесь	9	2
127	состоит в	2	2
128	чтобы понять	2	2
129	что они	10	2
130	а то	2	2
131	также что	2	2
132	кроме того	2	2
133	и если	2	2
134	в качестве	3	2
135	мог бы	3	2
136	увидим что	3	2
137	в таких	2	2
138	в котором	5	2
139	дает нам	2	2
140	его в	10	2
141	не все	2	2
142	отношению к	3	2
143	бы привести	2	2
144	в область	4	2
145	когда он	3	2
146	в некоторых	2	2
147	вместе с	7	2
148	дело не	4	2
149	в свете	2	2
150	так в	3	2
151	он имеет	2	2
152	в особенности	2	2
153	не просто	2	2
154	это так	2	2
155	совершенно ясно	2	2
156	к рассмотрению	2	2
157	так же	13	2
158	с другими	2	2
159	не знает	2	2
160	бы составить	2	2
161	очень много	8	2
162	он в	3	2
163	эти слова	3	2
164	что мы	3	2
165	тому как	3	2
166	в русском	2	2
167	что эти	4	2
168	как он	3	2
169	в этих	11	2
170	здесь не	2	2
171	то не	2	2
172	мы имеем	15	2
173	но в	6	2
174	если это	3	2
