N	2gram	Savitsky_P_1	Psycholo
1	то что	4	32
2	и в	14	31
3	в том	9	30
4	и т	3	26
5	что в	4	23
6	может быть	5	22
7	не может	4	17
8	том что	4	16
9	и не	12	16
10	точки зрения	3	15
11	только в	7	14
12	а не	2	13
13	не только	17	13
14	мы не	3	12
15	в этом	10	12
16	могут быть	3	11
17	не в	5	11
18	в области	11	11
19	того что	2	10
20	потому что	3	10
21	по себе	4	9
22	все это	2	8
23	что мы	3	8
24	есть в	2	7
25	заключается в	3	7
26	одной стороны	3	6
27	было бы	6	6
28	если бы	4	6
29	вслед за	3	6
30	отнюдь не	2	6
31	а в	4	6
32	для того	3	6
33	в его	2	6
34	и есть	2	5
35	в ее	2	5
36	с одной	3	5
37	для нас	2	5
38	как бы	4	5
39	то же	9	5
40	с другой	5	5
41	в то	7	5
42	в котором	4	4
43	прежде всего	3	4
44	столь же	3	4
45	в себе	3	4
46	одна из	2	4
47	и если	4	4
48	и о	5	4
49	никак не	2	4
50	со стороны	2	4
51	между тем	3	4
52	как на	2	3
53	с тем	3	3
54	в частности	2	3
55	в своем	4	3
56	стороны и	2	3
57	и к	4	3
58	точек зрения	2	3
59	в силу	2	3
60	но не	3	3
61	например в	2	3
62	хотя и	3	3
63	но к	2	3
64	не было	2	3
65	и других	2	3
66	и вот	2	3
67	исторического материализма	3	3
68	в которых	5	3
69	с этим	2	3
70	и это	2	3
71	но в	9	3
72	т е	3	3
73	не менее	2	2
74	главным образом	2	2
75	и как	3	2
76	и без	3	2
77	в них	2	2
78	в жизни	2	2
79	есть не	2	2
80	и потому	4	2
81	в качестве	9	2
82	есть нечто	2	2
83	тот же	3	2
84	и тем	2	2
85	в нем	3	2
86	из них	2	2
87	но и	6	2
88	как раз	2	2
89	тем самым	3	2
90	к чему	2	2
91	с точки	3	2
92	в русском	2	2
93	бы ни	2	2
94	и с	2	2
