N	3gram	Vinokur_Ku_1	Myslijsy
1	более или менее	3	8
2	во всяком случае	5	7
3	в том что	15	7
4	и того же	2	6
5	одного и того	2	6
6	в свою очередь	3	6
7	по крайней мере	5	5
8	тем не менее	4	5
9	по мере того	3	4
10	мере того как	3	4
11	до сих пор	4	4
12	на то что	2	3
13	и т д	14	3
14	и т п	18	3
15	только потому что	6	2
16	то же время	2	2
17	то же в	2	2
18	не в том	4	2
19	так и в	2	2
20	в этом смысле	3	2
21	не может быть	3	2
22	в то же	2	2
23	с другой стороны	6	2
24	для того чтобы	15	2
25	и тогда когда	3	2
26	того что они	2	2
27	на самом деле	2	2
