N	2gram	Tiupa_Lite_1	RusskieA
1	и в	8	29
2	что в	3	22
3	том что	14	22
4	в том	16	22
5	в поле	2	19
6	как бы	7	18
7	состоит в	11	15
8	может быть	13	13
9	как и	6	11
10	одна из	3	11
11	в этом	12	11
12	не только	24	10
13	о том	2	9
14	а в	3	9
15	во многих	2	9
16	и м	2	8
17	но и	17	8
18	его в	3	8
19	данном случае	4	7
20	как в	5	7
21	же в	5	6
22	еще не	4	6
23	таким образом	3	6
24	при этом	19	6
25	в данном	5	6
26	потому что	3	5
27	это не	4	5
28	то что	10	5
29	но не	4	5
30	для этого	4	5
31	не может	5	5
32	следующим образом	2	5
33	но в	3	5
34	уже не	7	4
35	не в	8	4
36	из них	4	4
37	том же	3	4
38	а также	5	4
39	то и	2	4
40	то же	5	4
41	а не	16	4
42	далеко не	3	4
43	как это	8	4
44	на этом	2	3
45	тем что	2	3
46	в качестве	17	3
47	в году	13	3
48	того что	6	3
49	было бы	2	3
50	в отличие	5	3
51	что для	2	3
52	все эти	2	3
53	друг друга	4	3
54	тому как	2	3
55	между тем	2	3
56	подобно тому	2	3
57	в этой	4	3
58	отличие от	5	3
59	не менее	7	2
60	с этой	5	2
61	связи с	6	2
62	могут быть	2	2
63	никогда не	4	2
64	по этому	2	2
65	с другой	3	2
66	не столько	5	2
67	из этих	2	2
68	прежде всего	11	2
69	из наиболее	2	2
70	одним из	5	2
71	для них	2	2
72	одной стороны	2	2
73	тем не	2	2
74	в виду	3	2
75	еще в	4	2
76	один из	3	2
77	должен быть	2	2
78	все же	4	2
79	в своей	4	2
80	не к	2	2
81	дело не	2	2
82	в их	3	2
83	тогда как	13	2
84	не было	3	2
85	с одной	2	2
86	можно было	2	2
87	в своих	4	2
88	и то	2	2
89	одно из	3	2
90	на себя	2	2
91	в то	5	2
92	этой цели	2	2
93	представляет собой	4	2
94	та же	2	2
