N	2gram	Propp_Isto_4	Marksizm
1	может быть	14	26
2	и не	9	26
3	не может	6	24
4	и в	26	19
5	и его	10	19
6	таким образом	10	17
7	в этом	7	16
8	как бы	3	15
9	как мы	5	13
10	как и	7	12
11	и пр	11	12
12	так и	10	11
13	связи с	3	11
14	в нем	2	10
15	лишь в	2	9
16	только в	3	9
17	при этом	3	8
18	но и	12	8
19	до сих	5	8
20	не только	15	8
21	все же	9	8
22	то что	16	8
23	сих пор	5	8
24	в связи	2	7
25	все эти	3	7
26	так же	18	7
27	но в	5	7
28	то же	8	7
29	а не	6	7
30	с помощью	2	6
31	в том	3	6
32	другой стороны	4	6
33	и здесь	5	6
34	в его	5	6
35	ничего не	5	6
36	с другой	4	5
37	мы знаем	8	5
38	не в	5	5
39	конечно не	2	5
40	те же	3	5
41	и все	2	5
42	к этому	5	5
43	вовсе не	4	5
44	хотя бы	2	5
45	этот вопрос	2	5
46	что в	14	4
47	не менее	2	4
48	вопрос о	4	4
49	от того	2	4
50	здесь мы	2	4
51	а в	8	4
52	и на	2	4
53	сказать что	2	4
54	с этим	2	4
55	по себе	2	4
56	еще не	6	4
57	было бы	2	4
58	и тот	2	4
59	как в	7	4
60	в языке	2	4
61	между ними	3	4
62	в данном	3	4
63	и есть	2	3
64	формы и	2	3
65	а как	2	3
66	и как	5	3
67	в дальнейшем	6	3
68	не дает	2	3
69	из них	2	3
70	все это	2	3
71	того что	2	3
72	не имеет	3	3
73	же самое	2	3
74	его в	9	3
75	и действительно	3	3
76	смысле этого	2	3
77	он может	2	3
78	не могут	2	3
79	этом случае	3	3
80	том что	3	3
81	и при	3	3
82	мы должны	5	3
83	он не	7	3
84	не есть	2	3
85	в своей	4	3
86	в истории	2	3
87	это и	5	3
88	на этот	2	3
89	к этим	2	3
90	но все	5	3
91	между двумя	12	3
92	в области	2	3
93	же как	13	2
94	должна быть	2	2
95	в частности	2	2
96	никогда не	2	2
97	в своем	2	2
98	его к	3	2
99	тем не	2	2
100	ни в	2	2
101	но для	2	2
102	ни одной	2	2
103	и др	5	2
104	и их	2	2
105	и только	5	2
106	и других	3	2
107	не просто	4	2
108	и даже	4	2
109	с этой	2	2
110	в одной	3	2
111	из этих	3	2
112	о том	4	2
113	как он	6	2
114	так как	9	2
115	к этой	3	2
116	и с	5	2
117	и более	3	2
118	если бы	2	2
119	и во	2	2
120	что он	10	2
121	в себе	2	2
122	у нас	2	2
123	этот момент	2	2
124	одна из	2	2
125	от него	2	2
126	во все	2	2
127	в качестве	7	2
128	она не	3	2
129	другими словами	2	2
130	мы уже	5	2
131	этого слова	2	2
132	не могло	2	2
133	что и	9	2
134	к своему	3	2
135	из которых	5	2
136	и он	3	2
137	на смену	3	2
138	или в	3	2
139	мы пока	2	2
140	связана с	2	2
141	то мы	2	2
142	мы можем	6	2
143	тем что	5	2
144	могут быть	6	2
145	в другом	5	2
146	в русской	3	2
147	там где	3	2
