N	3gram	Losev_Prob_1	Marksizm
1	с точки зрения	3	20
2	не может быть	2	13
3	в самом деле	2	9
4	до сих пор	3	8
5	в связи с	4	7
6	в настоящее время	3	6
7	и того же	2	5
8	одного и того	2	5
9	с другой стороны	3	5
10	то же самое	9	3
11	может быть и	3	3
12	в то же	4	3
13	можно сказать что	3	3
14	в конце концов	4	3
15	в том что	5	3
16	в этом случае	2	3
17	для того чтобы	8	3
18	так же как	2	2
19	в таком случае	6	2
20	можно было бы	2	2
21	тем не менее	18	2
22	сама по себе	4	2
23	во всяком случае	3	2
24	ничего общего с	7	2
25	в этом смысле	6	2
