N	2gram	Tiupa_Lite_3	Russkaja
1	не может	8	22
2	и не	22	19
3	в том	12	17
4	в этом	14	17
5	и в	16	14
6	то что	12	13
7	самим собой	3	12
8	то же	9	11
9	точки зрения	7	11
10	же время	7	10
11	но и	14	10
12	в то	9	10
13	том что	8	9
14	не только	14	9
15	в себе	6	9
16	с точки	3	9
17	может быть	12	9
18	прежде всего	3	8
19	того чтобы	2	8
20	как на	3	8
21	ни к	3	7
22	отнюдь не	3	7
23	к тому	6	7
24	и если	4	7
25	самом деле	3	7
26	в данном	4	7
27	о том	6	7
28	и с	2	7
29	если бы	2	6
30	что он	5	6
31	и к	3	6
32	и при	2	6
33	для него	2	6
34	для того	2	6
35	и для	4	6
36	в своих	2	6
37	себя и	2	5
38	жизни в	4	5
39	вопрос о	2	5
40	на то	2	5
41	и на	2	5
42	или иной	2	5
43	при этом	15	5
44	было бы	2	5
45	в своей	7	5
46	никогда не	4	5
47	в нем	2	5
48	во всех	2	5
49	и только	2	5
50	по существу	4	5
51	а в	5	5
52	потому что	3	5
53	только в	7	5
54	между тем	3	5
55	а лишь	2	4
56	но не	4	4
57	что в	2	4
58	то ни	2	4
59	в мире	16	4
60	как и	5	4
61	как бы	8	4
62	все же	2	4
63	себя в	7	4
64	бы то	2	4
65	жизни и	3	4
66	вместе с	5	4
67	со стороны	7	4
68	в совершенно	2	4
69	не в	10	4
70	в этой	8	4
71	в его	6	4
72	его в	2	4
73	именно в	5	3
74	в конце	2	3
75	и как	3	3
76	в другом	6	3
77	то в	3	3
78	лишь в	5	3
79	так чтобы	2	3
80	должно быть	4	3
81	в качестве	5	3
82	еще не	6	3
83	несмотря на	2	3
84	в самом	3	3
85	том чтобы	2	3
86	той или	2	3
87	и потому	2	3
88	то это	2	3
89	что и	2	3
90	из них	4	3
91	все они	2	3
92	данном случае	4	3
93	того что	9	3
94	тем что	2	3
95	связи с	2	3
96	место в	4	2
97	только для	3	2
98	которой она	2	2
99	в частности	11	2
100	к себе	8	2
101	состоит в	6	2
102	по себе	2	2
103	и вместе	2	2
104	уже не	3	2
105	совершенно не	3	2
106	для себя	2	2
107	и тем	3	2
108	время в	2	2
109	ее в	2	2
110	и тогда	2	2
111	по отношению	4	2
112	тогда как	17	2
113	отношения к	3	2
114	если не	2	2
115	и вот	2	2
116	тем самым	7	2
117	а не	12	2
118	и наконец	3	2
119	и даже	2	2
120	так же	2	2
121	в глазах	3	2
122	на себя	2	2
123	в начале	4	2
124	как будто	4	2
125	в области	3	2
126	но в	3	2
