N	2gram	Tiupa_Hudo_1	Literetu
1	и не	2	22
2	тогда как	7	17
3	и в	14	16
4	в мире	3	16
5	при этом	12	15
6	не только	12	14
7	но и	5	14
8	уединенного сознания	4	14
9	в этом	11	14
10	а не	12	12
11	то что	8	12
12	может быть	5	12
13	в том	12	12
14	в частности	5	11
15	не в	7	10
16	такого рода	3	10
17	своего рода	7	10
18	я и	2	10
19	то же	9	9
20	так и	13	9
21	того что	4	9
22	в то	8	9
23	том что	16	8
24	в е	2	8
25	не может	7	8
26	к себе	5	8
27	в этой	8	8
28	как бы	7	8
29	в противовес	2	7
30	в своей	10	7
31	же время	8	7
32	себя в	4	7
33	со стороны	3	7
34	точки зрения	5	7
35	только в	5	7
36	с его	5	6
37	состоит в	2	6
38	к тому	7	6
39	художественного мышления	6	6
40	еще не	7	6
41	в его	8	6
42	и его	5	6
43	в себе	11	6
44	в другом	2	6
45	о том	12	6
46	в качестве	9	5
47	это не	7	5
48	что он	9	5
49	в ее	3	5
50	как и	9	5
51	лишь в	3	5
52	в целом	2	5
53	как в	8	5
54	а в	7	5
55	этом отношении	3	5
56	именно в	7	5
57	всего лишь	4	5
58	что я	2	5
59	но не	3	4
60	в рамках	2	4
61	никогда не	6	4
62	однако в	2	4
63	даже в	3	4
64	до конца	2	4
65	в начале	2	4
66	и для	3	4
67	хотя и	2	4
68	и ты	2	4
69	отношению к	8	4
70	из них	4	4
71	в тексте	3	4
72	по отношению	8	4
73	жизни в	6	4
74	а также	3	4
75	должно быть	2	4
76	как будто	4	4
77	ни к	2	3
78	только для	2	3
79	личности в	7	3
80	отнюдь не	3	3
81	все еще	2	3
82	прежде всего	11	3
83	то в	4	3
84	например в	2	3
85	и к	4	3
86	на его	2	3
87	в самом	4	3
88	и а	5	3
89	еще в	3	3
90	с ее	2	3
91	жизни и	5	3
92	себе самому	3	3
93	уже не	7	3
94	самом деле	5	3
95	с точки	3	3
96	той же	2	3
97	в глазах	6	3
98	не случайно	7	3
99	потому что	5	3
100	по своей	4	3
101	едва ли	3	3
102	но в	5	3
103	между тем	8	3
104	в творческом	3	2
105	что в	6	2
106	не менее	5	2
107	если бы	3	2
108	так или	2	2
109	быть может	7	2
110	что у	3	2
111	в лице	3	2
112	с этой	2	2
113	для своего	2	2
114	в конце	4	2
115	вопрос о	2	2
116	по себе	2	2
117	на то	4	2
118	в нем	3	2
119	но одновременно	3	2
120	же в	3	2
121	раз в	2	2
122	связи с	4	2
123	первой половине	3	2
124	из рассказа	3	2
125	для него	10	2
126	можно сказать	4	2
127	было бы	6	2
128	что не	2	2
129	в первой	6	2
130	несмотря на	4	2
131	от себя	2	2
132	о нем	3	2
133	себя и	2	2
134	к жизни	5	2
135	не согласиться	2	2
136	для себя	3	2
137	один из	4	2
138	все же	3	2
139	во второй	5	2
140	но еще	2	2
141	как мы	3	2
142	внимание на	2	2
143	как раз	4	2
144	а и	2	2
145	о природе	3	2
146	но с	2	2
147	человека в	6	2
148	не означает	2	2
149	того чтобы	3	2
150	и даже	3	2
151	жизни как	2	2
152	своей жизни	2	2
153	или иначе	2	2
154	с ними	2	2
155	в своих	3	2
156	и на	3	2
157	отказ от	2	2
158	и с	4	2
159	автора и	2	2
160	тем что	3	2
161	и об	2	2
162	эти слова	2	2
163	еще раз	2	2
164	за ним	2	2
165	не знает	2	2
166	его в	3	2
167	и потому	2	2
168	здесь не	2	2
