N	2gram	Losev_Dial_2	VrazhdaK
1	не только	19	9
2	в этом	8	8
3	и что	5	8
4	и в	19	8
5	но и	12	7
6	что в	7	7
7	то что	14	7
8	и все	12	7
9	в нем	10	6
10	все же	4	6
11	– это	6	6
12	и даже	14	6
13	как и	10	6
14	но в	2	6
15	и с	5	6
16	то же	12	5
17	не было	3	5
18	и не	30	5
19	об этом	3	5
20	между тем	2	5
21	в то	6	5
22	же время	5	5
23	уже в	4	4
24	как бы	14	4
25	все это	4	4
26	это не	10	4
27	что он	6	4
28	так же	2	4
29	с ним	4	4
30	в своих	2	4
31	может быть	20	4
32	при этом	4	4
33	в истории	2	4
34	несмотря на	2	4
35	о том	5	4
36	в ней	2	4
37	в виду	5	4
38	я не	6	3
39	и уже	3	3
40	связи с	4	3
41	в своем	4	3
42	что у	2	3
43	что есть	2	3
44	в связи	4	3
45	в конце	2	3
46	т е	30	3
47	в том	14	3
48	раз в	2	3
49	и его	5	3
50	том что	10	3
51	и как	10	3
52	тем что	2	3
53	его в	3	3
54	но он	4	3
55	в чем	3	3
56	он не	4	3
57	его с	3	2
58	в своей	8	2
59	и это	5	2
60	после этого	3	2
61	время и	2	2
62	из них	3	2
63	не менее	3	2
64	никогда не	9	2
65	вместе с	2	2
66	отнюдь не	6	2
67	как раз	5	2
68	не может	9	2
69	а в	4	2
70	таким образом	4	2
71	и образы	2	2
72	в одну	5	2
73	но это	7	2
74	в той	3	2
75	уже не	3	2
76	же не	3	2
77	с точки	8	2
78	же в	2	2
79	как же	3	2
80	в этой	3	2
81	что я	2	2
82	и то	7	2
83	об этой	2	2
84	же как	3	2
85	их в	2	2
86	но как	5	2
87	точки зрения	12	2
88	ко мне	2	2
89	в себе	15	2
90	еще не	4	2
91	во время	2	2
92	в это	3	2
93	о чем	3	2
94	в мире	2	2
95	с нею	3	2
96	личность и	2	2
