N	2gram	Trubetskoy_1	Vladivir
1	и в	26	31
2	не только	10	24
3	но и	9	19
4	то что	7	18
5	и не	8	17
6	и даже	3	15
7	том что	7	14
8	что в	9	14
9	в этом	15	14
10	и с	10	14
11	что он	4	12
12	в его	5	12
13	но в	7	12
14	с его	2	11
15	в том	11	11
16	потому что	7	11
17	о том	6	11
18	так что	3	10
19	он не	4	10
20	никогда не	5	9
21	а в	4	9
22	в течение	4	9
23	только в	4	9
24	в конце	6	9
25	и по	4	8
26	в то	4	8
27	так как	9	8
28	уже в	2	7
29	для него	3	7
30	сказать что	2	7
31	к этому	3	6
32	и к	5	6
33	можно сказать	3	6
34	в качестве	3	6
35	того же	6	6
36	и потому	6	6
37	может быть	10	6
38	иной раз	2	6
39	в котором	4	6
40	так и	6	6
41	не может	4	6
42	то же	4	6
43	и что	4	6
44	на этот	4	6
45	а с	7	5
46	все это	6	5
47	на то	2	5
48	не в	2	5
49	и если	3	5
50	и от	4	5
51	а также	2	5
52	что и	6	5
53	жизни и	2	5
54	когда он	3	5
55	не было	2	5
56	после смерти	10	4
57	же время	2	4
58	в своем	3	4
59	и все	2	4
60	в нем	4	4
61	главным образом	8	4
62	в себе	6	4
63	и как	3	4
64	в этой	4	4
65	по своей	2	4
66	и особенно	2	4
67	один из	2	4
68	и у	8	4
69	несмотря на	6	4
70	в россии	2	4
71	к нему	7	4
72	в которой	3	4
73	в общем	8	3
74	к тому	6	3
75	в виде	4	3
76	с другой	8	3
77	но не	8	3
78	более или	5	3
79	по своему	2	3
80	тот же	2	3
81	и из	2	3
82	время он	2	3
83	конце концов	3	3
84	все же	6	3
85	отношение к	5	3
86	вместе с	15	3
87	или менее	5	3
88	по своим	2	3
89	в отношении	6	3
90	взгляд на	2	3
91	в связи	3	3
92	таким образом	22	3
93	все эти	6	3
94	если не	2	3
95	уже не	3	3
96	свидетельствует о	2	3
97	и на	2	3
98	он в	2	3
99	к его	2	3
100	и здесь	2	3
101	в начале	2	3
102	во время	4	3
103	то есть	4	3
104	и действительно	2	3
105	по учению	3	2
106	с тем	18	2
107	не менее	3	2
108	в них	2	2
109	хотя бы	3	2
110	по существу	2	2
111	к концу	3	2
112	что все	4	2
113	на все	2	2
114	образом в	5	2
115	ясно что	3	2
116	при жизни	4	2
117	этого последнего	2	2
118	одной из	5	2
119	тем не	3	2
120	очень мало	4	2
121	духовного развития	2	2
122	тому же	5	2
123	учение о	4	2
124	все что	2	2
125	еще не	2	2
126	при этом	3	2
127	того что	3	2
128	в самом	4	2
129	конечно не	2	2
130	ему в	2	2
131	и о	3	2
132	одним из	2	2
133	всяком случае	6	2
134	виде в	2	2
135	к жизни	5	2
136	из них	7	2
137	из этого	2	2
138	только что	2	2
139	так например	2	2
140	и для	5	2
141	начиная с	2	2
142	и сейчас	2	2
143	лишь в	5	2
144	того чтобы	5	2
145	для того	5	2
146	что мы	2	2
147	как на	8	2
148	с того	2	2
149	в результате	3	2
150	во всяком	6	2
151	больше чем	2	2
152	точки зрения	13	2
153	из этих	10	2
154	о котором	2	2
155	мы должны	6	2
156	этот факт	2	2
157	и это	2	2
158	еще на	2	2
159	бога и	4	2
