N	2gram	Vinokur_Ku_3	VelikijI
1	и не	10	20
2	и в	23	16
3	то что	4	9
4	так как	9	9
5	еще не	9	8
6	что они	2	7
7	а не	11	7
8	не есть	3	6
9	хотя и	5	5
10	как бы	5	5
11	но и	3	5
12	все это	2	5
13	что есть	2	5
14	того что	11	5
15	на себя	2	5
16	и есть	5	4
17	что все	2	4
18	и я	2	4
19	что он	6	4
20	как и	5	4
21	это еще	2	4
22	что мы	2	4
23	в котором	2	4
24	так и	6	4
25	что не	4	4
26	потому что	12	4
27	в этом	16	4
28	в ней	3	4
29	говорить о	6	4
30	в его	11	4
31	должна быть	3	3
32	что в	13	3
33	в этих	2	3
34	ни в	3	3
35	в том	22	3
36	не в	5	3
37	но это	5	3
38	тот же	6	3
39	к тому	3	3
40	то это	3	3
41	что и	6	3
42	в своей	4	3
43	бы и	3	3
44	тому что	4	3
45	не было	4	3
46	лишь в	8	3
47	и что	7	3
48	не имеет	3	3
49	хотя бы	9	3
50	должно быть	7	3
51	все эти	7	3
52	в чем	5	3
53	но в	2	3
54	не могут	5	2
55	с тем	6	2
56	это не	3	2
57	прежде всего	9	2
58	для нас	4	2
59	том что	11	2
60	но не	3	2
61	конечно не	2	2
62	когда в	2	2
63	того чтобы	11	2
64	не только	17	2
65	один из	4	2
66	но мы	2	2
67	не с	2	2
68	и т	54	2
69	вопросе о	2	2
70	на том	2	2
71	будет уже	3	2
72	т д	8	2
73	а с	3	2
74	тем что	5	2
75	мы не	3	2
76	уже не	8	2
77	более чем	2	2
78	не так	3	2
79	а в	5	2
80	можно было	11	2
81	между тем	4	2
82	могут быть	6	2
83	только в	6	2
84	во всяком	2	2
