N	2gram	Losev_Prob_5	Literetu
1	и не	12	22
2	и в	30	16
3	при этом	4	15
4	не только	18	14
5	но и	13	14
6	в этом	17	14
7	а не	5	12
8	то что	18	12
9	может быть	7	12
10	в том	12	12
11	в частности	4	11
12	не в	7	10
13	такого рода	2	10
14	то же	2	9
15	так и	7	9
16	того что	3	9
17	в то	4	9
18	том что	17	8
19	не может	5	8
20	в этой	10	8
21	как бы	6	8
22	в своей	22	7
23	точки зрения	10	7
24	только в	9	7
25	по мысли	2	6
26	с другой	6	6
27	в стихотворении	14	6
28	к тому	2	6
29	еще не	3	6
30	в его	12	6
31	и его	6	6
32	в себе	4	6
33	в другом	3	6
34	о том	12	6
35	в качестве	4	5
36	это не	2	5
37	в году	5	5
38	что он	7	5
39	в ее	3	5
40	как и	7	5
41	вместе с	7	5
42	как в	2	5
43	а именно	12	5
44	а в	6	5
45	именно в	3	5
46	то есть	21	5
47	но не	7	4
48	никогда не	7	4
49	однако в	3	4
50	по существу	2	4
51	одной стороны	3	4
52	в начале	3	4
53	и для	6	4
54	хотя и	8	4
55	отношению к	2	4
56	из них	2	4
57	данном случае	2	4
58	по отношению	2	4
59	жизни в	4	4
60	с одной	3	4
61	а также	3	4
62	в данном	2	4
63	как будто	3	4
64	в одном	3	4
65	том числе	2	3
66	только для	2	3
67	все время	3	3
68	отнюдь не	4	3
69	все еще	4	3
70	прежде всего	6	3
71	и как	6	3
72	мира в	3	3
73	и к	4	3
74	на его	2	3
75	в самом	5	3
76	вслед за	2	3
77	еще в	5	3
78	и тем	3	3
79	но уже	2	3
80	жизни и	2	3
81	человеческого духа	2	3
82	уже не	6	3
83	самом деле	2	3
84	с точки	8	3
85	потому что	13	3
86	по своей	2	3
87	едва ли	4	3
88	в области	2	3
89	но в	9	3
90	между тем	2	3
91	в противоположность	3	2
92	что в	5	2
93	не менее	5	2
94	на свое	2	2
95	то ни	2	2
96	что у	5	2
97	как о	4	2
98	с этой	2	2
99	он все	2	2
100	в конце	8	2
101	я не	2	2
102	к этому	2	2
103	не всегда	3	2
104	по себе	2	2
105	со всей	2	2
106	на то	2	2
107	в нем	6	2
108	же в	3	2
109	раз в	2	2
110	у нас	7	2
111	связи с	7	2
112	знает что	3	2
113	художественного творчества	8	2
114	художественное творчество	5	2
115	того же	4	2
116	него не	2	2
117	во втором	2	2
118	в свою	2	2
119	можно сказать	6	2
120	было бы	4	2
121	и сам	4	2
122	со всеми	2	2
123	что не	2	2
124	в первой	2	2
125	несмотря на	6	2
126	для себя	5	2
127	один из	2	2
128	что и	6	2
129	все же	9	2
130	бы то	2	2
131	отношение к	2	2
132	когда он	2	2
133	но еще	2	2
134	и тогда	2	2
135	как мы	2	2
136	внимание на	3	2
137	так же	5	2
138	как раз	5	2
139	и только	2	2
140	если не	4	2
141	еще и	4	2
142	свободы и	4	2
143	того чтобы	2	2
144	для того	3	2
145	другой стороны	6	2
146	и даже	14	2
147	и на	6	2
148	мы и	2	2
149	и с	5	2
150	быть только	3	2
151	тем что	2	2
152	он в	3	2
153	далеко не	4	2
154	он и	5	2
155	его в	6	2
156	здесь не	7	2
157	здесь как	2	2
158	мира и	2	2
159	ее в	2	2
