N	2gram	Tiupa_Disk_1	FransuaR
1	и в	16	45
2	то есть	20	25
3	и т.п	12	16
4	и не	11	15
5	не только	28	14
6	в этом	15	14
7	но в	8	14
8	в его	7	13
9	во всех	5	13
10	и его	2	13
11	как бы	5	12
12	что в	4	12
13	в своем	6	11
14	то же	7	11
15	в то	3	11
16	прежде всего	11	10
17	в том	23	10
18	в нем	9	10
19	но и	14	10
20	как и	16	10
21	же время	4	9
22	как мы	2	8
23	и др	2	8
24	таким образом	3	8
25	с его	4	7
26	том что	19	7
27	не в	7	7
28	что и	3	7
29	в эпоху	5	7
30	также и	3	7
31	потому что	4	7
32	и все	2	7
33	что он	4	6
34	в этой	2	6
35	так и	8	6
36	мысли и	2	6
37	связи с	4	6
38	в них	4	6
39	и к	4	5
40	одной из	4	5
41	на этом	2	5
42	например в	2	5
43	одним из	2	5
44	хотя и	2	5
45	в акте	3	5
46	с ее	2	5
47	не может	9	5
48	в себя	5	5
49	и как	6	5
50	и на	5	5
51	существенную роль	3	5
52	перед нами	3	4
53	об этом	2	4
54	том числе	2	4
55	и во	2	4
56	его как	2	4
57	тому же	5	4
58	но не	11	4
59	по своему	3	4
60	здесь в	2	4
61	своего рода	8	4
62	в самом	3	4
63	в сущности	2	4
64	и о	4	4
65	известной степени	2	4
66	а также	8	4
67	в их	5	4
68	а не	22	4
69	и даже	3	4
70	а в	5	4
71	сказать что	3	4
72	в основе	7	4
73	с этим	3	4
74	точки зрения	3	4
75	только в	7	4
76	о том	8	4
77	зрения на	3	4
78	это было	2	4
79	не менее	2	3
80	как в	10	3
81	это не	3	3
82	но они	2	3
83	в одной	3	3
84	в одном	2	3
85	есть в	2	3
86	того же	3	3
87	для него	4	3
88	в своей	5	3
89	не могло	2	3
90	и одновременно	2	3
91	не было	7	3
92	именно в	3	3
93	в году	2	3
94	того что	3	3
95	и он	2	3
96	в которых	4	3
97	в другом	2	3
98	о чем	2	3
99	и есть	2	2
100	в сторону	4	2
101	и без	2	2
102	жизни в	2	2
103	хотя бы	3	2
104	за его	2	2
105	это в	2	2
106	к этому	2	2
107	числе и	2	2
108	можно сказать	5	2
109	к тому	5	2
110	в г	2	2
111	отличие от	5	2
112	в начале	2	2
113	то что	5	2
114	в пределах	2	2
115	они и	3	2
116	в качестве	34	2
117	так например	2	2
118	может быть	17	2
119	народного творчества	2	2
120	еще в	3	2
121	произведение в	2	2
122	один из	3	2
123	в каждом	2	2
124	все же	3	2
125	в целом	4	2
126	когда он	2	2
127	на том	2	2
128	данном случае	2	2
129	в различных	2	2
130	в отличие	5	2
131	в особенности	4	2
132	одновременно и	2	2
133	при этом	13	2
134	становления и	2	2
135	в истории	4	2
136	лишь в	4	2
137	и что	2	2
138	в значительной	2	2
139	роль в	7	2
140	в данном	5	2
141	между тем	4	2
142	и вообще	2	2
143	же самое	2	2
144	и т.д	4	2
145	заметить что	2	2
146	говорит и	2	2
